,Hotel,Address,Score,Latitude,Longitude,City
189,Warwick Paris Former Warwick Champs Elysees ,5 rue de Berri 8th arr 75008 Paris France,8.1,48.8722019,2.3030866000000003,"Paris, France"
190,Le Cinq Codet,5 rue Louis Codet 7th arr 75007 Paris France,9.0,48.8547869,2.3084819,"Paris, France"
191,Sanderson A Morgans Hotel,50 Berners Street Westminster Borough London W1T 3NG United Kingdom,9.0,51.5174853,-0.1372109,"London, United Kingdom"
192,Commodore Hotel,50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,6.7,51.512449600000004,-0.1795215,"London, United Kingdom"
193,The Westbourne Hyde Park,51 Gloucester Terrace Westminster Borough London W2 3DQ United Kingdom,8.9,51.513107399999996,-0.17787070000000002,"London, United Kingdom"
194,The Lodge Hotel Putney,52 54 Upper Richmond Road Wandsworth London SW15 2RN United Kingdom,8.2,51.45729910000001,-0.20554250000000002,"London, United Kingdom"
195,Shaftesbury Hyde Park International,52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,8.0,51.5123968,-0.186124,"London, United Kingdom"
196,The Montcalm At Brewery London City,52 Chiswell Street City of London London EC1Y 4SD United Kingdom,8.8,51.520815500000005,-0.0915319,"London, United Kingdom"
197,Novotel London City South,53 61 Southwark Bridge Road Southwark London SE1 9HH United Kingdom,8.7,51.50548320000001,-0.0951196,"London, United Kingdom"
198,Chateau Frontenac,54 rue Pierre Charron 8th arr 75008 Paris France,8.5,48.868946799999996,2.3026558999999995,"Paris, France"
199,Shaftesbury Premier London Paddington,55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,7.3,51.5153672,-0.1783271,"London, United Kingdom"
200,Mimi s Hotel Soho,56 57 Frith Street Westminster Borough London W1D 3JG United Kingdom,8.3,51.5140329,-0.13206510000000002,"London, United Kingdom"
201,New Linden Hotel,59 Leinster Square Kensington and Chelsea London W2 4PS United Kingdom,7.6,51.51338320000001,-0.19266170000000002,"London, United Kingdom"
202,Park Plaza London Waterloo,6 Hercules Road Lambeth London SE1 7DP United Kingdom,8.8,51.4982412,-0.11347149999999999,"London, United Kingdom"
203,citizenM London Shoreditch,6 Holywell Lane Hackney London EC2A 3ET United Kingdom,9.1,51.5241373,-0.07869830000000001,"London, United Kingdom"
204,Newhotel Roblin,6 rue Chauveau Lagarde 8th arr 75008 Paris France,8.8,48.8714152,2.3239679,"Paris, France"
205,Hotel VIU Milan,6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,8.9,45.488764,9.183057000000002,Another City
206,Sofitel London St James,6 Waterloo Place Westminster Borough London SW1Y 4AN United Kingdom,9.2,51.5076044,-0.132266,"London, United Kingdom"
207,DoubleTree by Hilton London Islington,60 Pentonville Road Islington London N1 9LA United Kingdom,8.6,51.5322508,-0.1095714,"London, United Kingdom"
208,Club Quarters Hotel Lincoln s Inn Fields,61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,8.9,51.516098799999995,-0.1181749,"London, United Kingdom"
209,Hotel Saint Dominique,62 Rue Saint Dominique 7th arr 75007 Paris France,8.7,48.8599998,2.3087425,"Paris, France"
210,Clayton Hotel Chiswick,626 Chiswick High St Chiswick London W4 5RY United Kingdom,8.5,51.4924184,-0.27847009999999994,"London, United Kingdom"
211,Park Plaza London Park Royal,628 Western Avenue London W3 0TA United Kingdom,8.9,51.527262,-0.282992,"London, United Kingdom"
212,The Piccadilly London West End,65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,9.0,51.51219570000001,-0.1318384,"London, United Kingdom"
213,Best Western Hotel Montmartre Sacr Coeur,66 Boulevard Barb s 18th arr 75018 Paris France,7.2,48.888539,2.3498459,"Paris, France"
214,Kingsway Hall Hotel,66 Great Queen Street Covent Garden Camden London WC2B 5BX United Kingdom,8.5,51.5158643,-0.1200625,"London, United Kingdom"
215,Hotel Cafe Royal,68 Regent Street West End Mayfair Westminster Borough London W1B 4DY United Kingdom,9.3,51.5100916,-0.1359431,"London, United Kingdom"
216,Grange Rochester Hotel,69 Vincent Square Westminster Borough London SW1P 2PA United Kingdom,8.2,51.494265399999996,-0.13660260000000002,"London, United Kingdom"
217,Gainsborough Hotel,7 11 Queensberry Place Kensington and Chelsea London SW7 2DL United Kingdom,6.9,51.4948416,-0.1772056,"London, United Kingdom"
218,St James Hotel Club Mayfair,7 8 Park Place Westminster Borough London SW1A 1LP United Kingdom,8.7,51.50615870000001,-0.1402803,"London, United Kingdom"
219,Apex London Wall Hotel,7 9 Copthall Avenue City of London London EC2R 7NJ United Kingdom,9.1,51.5160484,-0.0880181,"London, United Kingdom"
220,Seraphine Kensington Gardens Hotel,7 9 High Street Kensington Kensington and Chelsea London W8 5NP United Kingdom,7.4,51.5021027,-0.187901,"London, United Kingdom"
221,Club Quarters Hotel Gracechurch,7 Gracechurch Street City of London London EC3V 0DR United Kingdom,8.2,51.5127964,-0.0847973,"London, United Kingdom"
222,DoubleTree by Hilton Hotel London Tower of London,7 Pepys Street City of London London EC3N 4AF United Kingdom,8.7,51.5108412,-0.0780581,"London, United Kingdom"
223,Melia Paris Notre Dame,7 Rue De L h tel Colbert 5th arr 75005 Paris France,8.7,48.8515198,2.3486511,"Paris, France"
224,Hotel Monceau Wagram,7 Rue Rennequin 17th arr 75017 Paris France,7.9,48.8808779,2.2989756000000003,"Paris, France"
225,Novotel London Excel,7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,8.5,51.5077198,0.0229805,"London, United Kingdom"
226,Mercure London Bridge,71 79 Southwark Street Southwark London SE1 0JA United Kingdom,8.5,51.505258700000006,-0.099176,"London, United Kingdom"
227,Les Jardins Du Marais,74 rue Amelot 11th arr 75011 Paris France,8.1,48.860521899999995,2.3680239,"Paris, France"
228,Hotel Cavendish,75 Gower Street Camden London WC1E 6HJ United Kingdom,6.4,51.522052200000005,-0.132414,"London, United Kingdom"
229,Shaftesbury Metropolis London Hyde Park,78 84 Sussex Gardens Westminster Borough London W2 1UH United Kingdom,7.7,51.5166887,-0.1706147,"London, United Kingdom"
230,Mercure London Hyde Park,8 14 Talbot Sq Paddington Westminster Borough London W2 1TS United Kingdom,8.6,51.5151149,-0.17438570000000003,"London, United Kingdom"
231,The Grand at Trafalgar Square,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,8.3,51.506935,-0.12601199999999999,"London, United Kingdom"
232,Club Quarters Hotel Trafalgar Square,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,8.5,51.506935,-0.12601199999999999,"London, United Kingdom"
233,Novotel Paris Les Halles,8 Place Marguerite de Navarre 1st arr 75001 Paris France,8.4,48.8607299,2.3465326,"Paris, France"
234,H tel Le Bellechasse Saint Germain,8 Rue De Bellechasse 7th arr 75007 Paris France,8.7,48.859702399999996,2.3239701,"Paris, France"
235,The Belgrave Hotel,80 86 Belgrave Road Westminster Borough London SW1V 2BJ United Kingdom,8.6,51.4901051,-0.1381355,"London, United Kingdom"
236,TheWesley,81 103 Euston Street Camden London NW1 2EZ United Kingdom,8.0,51.52653529999999,-0.1361682,"London, United Kingdom"
237,The Hoxton Shoreditch,81 Great Eastern Street Islington London EC2A 3HU United Kingdom,9.0,51.5255136,-0.082927,"London, United Kingdom"
238,Hotel 82 London,82 Gloucester Place Westminster Borough London W1U 6HN United Kingdom,7.5,51.5195857,-0.1584803,"London, United Kingdom"
239,Best Western Plus Seraphine Hammersmith Hotel,84 King Street Hammersmith and Fulham London W6 0QW United Kingdom,7.8,51.4926269,-0.2288598,"London, United Kingdom"
240,The Zetter Hotel,86 88 Clerkenwell Road Islington London EC1M 5RJ United Kingdom,8.9,51.522672,-0.10368410000000002,"London, United Kingdom"
241,88 Studios,88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom,8.4,51.4992789,-0.20907329999999996,"London, United Kingdom"
242,Radisson Blu Edwardian Bloomsbury Street,9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD United Kingdom,8.6,51.517608,-0.1276253,"London, United Kingdom"
243,Hotel Moonlight,9 Knaresborough Place Kensington and Chelsea London SW5 0TP United Kingdom,9.0,51.4940285,-0.19104970000000002,"London, United Kingdom"
244,DoubleTree by Hilton London West End,92 Southampton Row Camden London WC1B 4BH United Kingdom,8.3,51.5201065,-0.1221393,"London, United Kingdom"
245,Holiday Inn London Kensington Forum,97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,7.8,51.4942305,-0.1851141,"London, United Kingdom"
246,Radisson Blu Edwardian Kenilworth,97 Great Russell Street Bloomsbury Camden London WC1B 3LB United Kingdom,8.2,51.5179725,-0.12804949999999998,"London, United Kingdom"
247,H tel Monna Lisa Champs Elys es,97 rue La Bo tie 8th arr 75008 Paris France,8.7,48.874853,2.3245798,"Paris, France"
248,Melia White House Hotel,Albany Street London NW1 3UP United Kingdom,8.3,51.5298597,-0.1444623,"London, United Kingdom"
249,The Waldorf Hilton,Aldwych Westminster Borough London WC2B 4DD United Kingdom,8.4,51.5131979,-0.1174504,"London, United Kingdom"
250,Corendon Vitality Hotel Amsterdam,Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,8.4,52.346644899999994,4.8310984,"Amsterdam, Netherlands"
251,Hotel Am Konzerthaus Vienna MGallery by Sofitel,Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,8.6,48.1996129,16.3773546,"Vienna, Austria"
252,Hilton Vienna,Am Stadtpark 1 03 Landstra e 1030 Vienna Austria,8.0,48.206226799999996,16.3833767,"Vienna, Austria"
253,Catalonia Port,Ample 1 Pla a Duc de Medinaceli Ciutat Vella 08002 Barcelona Spain,8.8,41.378751,2.17873,Barcelona. Spain
254,Schlosshotel R mischer Kaiser,Annagasse 16 01 Innere Stadt 1010 Vienna Austria,8.9,48.2040859,16.3725046,"Vienna, Austria"
255,Apollofirst Boutique Hotel,Apollolaan 123 125 Oud Zuid 1077 AP Amsterdam Netherlands,8.5,52.350396,4.8756404,"Amsterdam, Netherlands"
256,Apollo Hotel Amsterdam,Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands,8.2,52.3486098,4.8844292000000005,"Amsterdam, Netherlands"
257,Urban Lodge Hotel,Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,8.6,52.3856494,4.834443,"Amsterdam, Netherlands"
258,Barcelona Princess,Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain,8.3,41.4109715,2.2186535,Barcelona. Spain
259,Novotel Barcelona City,Avenida Diagonal 201 Sant Mart 08018 Barcelona Spain,8.4,41.4038774,2.1911894,Barcelona. Spain
260,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Avenida Diagonal 555 Les Corts 08029 Barcelona Spain,8.6,41.3899609,2.135684,Barcelona. Spain
261,Pullman Barcelona Skipper,Avenida Litoral 10 Ciutat Vella 08005 Barcelona Spain,8.6,41.386018299999996,2.19473,Barcelona. Spain
262,Catalonia Atenas,Avenida Meridiana 151 Sant Mart 08026 Barcelona Spain,7.9,41.4110056,2.1866008999999997,Barcelona. Spain
263,H10 Itaca,Avenida Roma 22 30 Eixample 08015 Barcelona Spain,8.2,41.3810311,2.1455516,Barcelona. Spain
264,Melia Barcelona Sarri ,Avenida Sarri 50 Les Corts 08029 Barcelona Spain,8.1,41.391058,2.141706,Barcelona. Spain
265,Hotel SB Icaria Barcelona,Avinguda Icaria 195 Sant Mart 08005 Barcelona Spain,8.0,41.393559100000004,2.1993915,Barcelona. Spain
266,Catalonia Diagonal Centro,Balmes 142 146 Eixample 08008 Barcelona Spain,8.1,41.393863200000006,2.1568039,Barcelona. Spain
267,Catalonia Plaza Catalunya,Bergara 11 Eixample 08002 Barcelona Spain,8.6,41.3865289,2.1682919,Barcelona. Spain
268,Thistle Holborn The Kingsley,Bloomsbury Way Camden London WC1A 2SD United Kingdom,8.5,51.5179659,-0.12343430000000001,"London, United Kingdom"
269,Petit Palace Boqueria Garden,Boquer a 10 Ciutat Vella 08002 Barcelona Spain,8.5,41.3812223,2.1739622000000005,Barcelona. Spain
270,TWO Hotel Barcelona by Axel 4 Sup Adults Only,Calabria 90 92 Eixample 08015 Barcelona Spain,8.8,41.379129999999996,2.1561186,Barcelona. Spain
271,Hotel Barcelona Catedral,Capellans 4 Ciutat Vella 08002 Barcelona Spain,8.9,41.384828999999996,2.1751277,Barcelona. Spain
272,Holiday Inn London Regent s Park,Carburton Street Westminster Borough London W1W 5EE United Kingdom,8.2,51.5222472,-0.14261279999999998,"London, United Kingdom"
273,Senator Barcelona Spa Hotel,Cardenal Reig 11 Les Corts 08028 Barcelona Spain,7.7,41.3777977,2.1135971000000002,Barcelona. Spain
274,Thistle Euston,Cardington Street Euston Camden London NW1 2LP United Kingdom,8.3,51.5291423,-0.13727820000000002,"London, United Kingdom"
275,Room Mate Anna,Carrer de Arag 271 Eixample 08007 Barcelona Spain,9.1,41.392936600000006,2.1653954,Barcelona. Spain
276,Gran Hotel La Florida,Carretera Vallvidrera Tibidabo 83 93 Horta Guinard 08035 Barcelona Spain,8.7,41.425333200000004,2.1211027999999996,Barcelona. Spain
277,Doubletree By Hilton London Greenwich,Catherine Grove Greenwich Greenwich London SE10 8BB United Kingdom,8.8,51.474469,-0.019428,"London, United Kingdom"
278,The Chelsea Harbour Hotel,Chelsea Harbour Hammersmith and Fulham London SW10 0XG United Kingdom,8.6,51.4756558,-0.1813888,"London, United Kingdom"
279,Holiday Inn London Bloomsbury,Coram Street Camden London WC1N 1HT United Kingdom,8.2,51.524124799999996,-0.1258066,"London, United Kingdom"
280,The Mirror Barcelona,Corcega 255 Eixample 08036 Barcelona Spain,8.6,41.3930406,2.1545392999999997,Barcelona. Spain
281,Best Western Hotel City,Corso Buenos Aires 42 5 Central Station 20124 Milan Italy,8.4,45.485887700000006,9.204282699999998,Another City
282,Hotel Romana Residence,Corso di Porta Romana 64 Milan City Center 20122 Milan Italy,7.8,45.4572218,9.1937008,Another City
283,Enterprise Hotel Design Boutique,Corso Sempione 91 Fiera Milano City 20149 Milan Italy,8.5,45.4867005,9.157513699999999,Another City
284,NH Collection Barcelona Constanza,D u i Mata 66 99 Les Corts 08029 Barcelona Spain,8.7,41.3885274,2.1360471000000003,Barcelona. Spain
285,NH Collection Amsterdam Grand Hotel Krasnapolsky,Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,8.4,52.3727067,4.894365799999999,"Amsterdam, Netherlands"
286,Park Plaza Victoria Amsterdam,Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,8.0,52.377278000000004,4.897818,"Amsterdam, Netherlands"
287,Jaz Amsterdam,De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,8.9,52.314371,4.938806400000001,"Amsterdam, Netherlands"
288,Bilderberg Garden Hotel,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,8.1,52.351144700000006,4.8740764,"Amsterdam, Netherlands"
289,Melia Vienna,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,8.6,48.231911,16.4129493,"Vienna, Austria"
290,Grand Hotel Downtown,Eerste Constantijn Huygensstraat 10A Oud West 1054 BR Amsterdam Netherlands,7.5,52.36513,4.8729422,"Amsterdam, Netherlands"
291,Amadi Park Hotel,Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,8.1,52.364962,4.873495,"Amsterdam, Netherlands"
292,Hotel Casa Camper,Elisabets 11 Ciutat Vella 08001 Barcelona Spain,9.6,41.383241399999996,2.1685298,Barcelona. Spain
293,Holiday Inn London Wembley,Empire Way Wembley Brent London HA9 8DS United Kingdom,8.3,51.559095500000005,-0.284704,"London, United Kingdom"
294,Novotel Amsterdam City,Europaboulevard 10 Zuideramstel 1083 AD Amsterdam Netherlands,7.8,52.333803,4.8884707999999994,"Amsterdam, Netherlands"
295,St Pancras Renaissance Hotel London,Euston Road Camden London NW1 2AR United Kingdom,8.8,51.526776899999994,-0.1324905,"London, United Kingdom"
296,DoubleTree By Hilton London Excel,Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,8.4,51.507377000000005,0.038657,"London, United Kingdom"
297,Hotel V Fizeaustraat,Fizeaustraat 2 Oost 1097 SC Amsterdam Netherlands,9.1,52.3451511,4.925237200000001,"Amsterdam, Netherlands"
298,Durrants Hotel,George Street Westminster Borough London W1H 5BJ United Kingdom,8.1,51.5179386,-0.1529794,"London, United Kingdom"
299,Ayre Hotel Gran V a,Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,8.8,41.373246200000004,2.1474351,Barcelona. Spain
300,Sunotel Central,Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,8.2,41.3841429,2.1616896,Barcelona. Spain
301,Hotel Vueling Bcn by HC,Gran Via 550 Eixample 08011 Barcelona Spain,8.8,41.3831641,2.1604736,Barcelona. Spain
302,H10 Casanova,Gran Via 559 Eixample 08012 Barcelona Spain,8.6,41.38426079999999,2.1609471,Barcelona. Spain
303,Catalonia Passeig de Gr cia 4 Sup,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,9.2,41.3901396,2.1696699,Barcelona. Spain
304,Hotel Palace GL,Gran Via de les Corts Catalanes 668 Eixample 08010 Barcelona Spain,9.4,41.3916258,2.1716377999999996,Barcelona. Spain
305,Hotel Casa Bonay,Gran Via de les Corts Catalanes 700 Eixample 08010 Barcelona Spain,8.7,41.3935967,2.1742717999999996,Barcelona. Spain
306,The Cumberland A Guoman Hotel,Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,7.5,51.514879,-0.1606501,"London, United Kingdom"
307,Flemings Mayfair,Half Moon Street Westminster Borough London W1J 7BH United Kingdom,8.7,51.506460700000005,-0.1454198,"London, United Kingdom"
308,Hilton London Green Park,Half Moon Street Westminster Borough London W1J 7BN United Kingdom,7.3,51.5064534,-0.14561459999999998,"London, United Kingdom"
309,WestCord Fashion Hotel Amsterdam,Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,8.7,52.357655,4.844576,"Amsterdam, Netherlands"
310,Ambassade Hotel,Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,9.3,52.369391,4.8871721,"Amsterdam, Netherlands"
311,Banks Mansion All Inclusive Hotel,Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands,9.2,52.365386799999996,4.8931979000000005,"Amsterdam, Netherlands"
312,Waldorf Astoria Amsterdam,Herengracht 542 556 Amsterdam City Center 1017 CG Amsterdam Netherlands,9.5,52.364768,4.896945,"Amsterdam, Netherlands"
313,Senator Hotel Vienna,Hernalser Hauptstra e 105 17 Hernals 1170 Vienna Austria,8.1,48.2195864,16.3255339,"Vienna, Austria"
314,Arion Cityhotel Vienna und Appartements,Hintschiggasse 1 10 Favoriten 1100 Vienna Austria,8.1,48.15853320000001,16.345111499999998,"Vienna, Austria"
315,Hilton London Kensington Hotel,Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,7.8,51.5051084,-0.21326599999999998,"London, United Kingdom"
316,Hotel Mercure Wien City,Hollandstra e 3 02 Leopoldstadt 1020 Vienna Austria,8.2,48.215266299999996,16.376103,"Vienna, Austria"
317,Amadi Panorama Hotel,Ijburglaan 539 Zeeburg 1087 BE Amsterdam Netherlands,8.4,52.358880600000006,4.9886041,"Amsterdam, Netherlands"
318,Room Mate Aitana,IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,8.8,52.384605900000004,4.894186599999999,"Amsterdam, Netherlands"
319,DoubleTree by Hilton London Chelsea,Imperial Road Hammersmith and Fulham London SW6 2GA United Kingdom,8.3,51.475172,-0.1870629,"London, United Kingdom"
320,Hotel JL No76,Jan Luijkenstraat 76 Oud Zuid 1071 CT Amsterdam Netherlands,8.8,52.3595919,4.8801587,"Amsterdam, Netherlands"
321,Mercure Hotel Amsterdam City South,Joan Muyskenweg 10 Oost 1096 CJ Amsterdam Netherlands,8.2,52.335182,4.9138687999999995,"Amsterdam, Netherlands"
322,Dutch Design Hotel Artemis,John M Keynesplein 2 Slotervaart 1066 EP Amsterdam Netherlands,7.9,52.341789399999996,4.824952,"Amsterdam, Netherlands"
323,Mercure Josefshof Wien,Josefsgasse 4 6 08 Josefstadt 1080 Vienna Austria,8.3,48.2085627,16.3541687,"Vienna, Austria"
324,Vincci Bit,Josep Pla 69 Sant Mart 08019 Barcelona Spain,8.5,41.4114188,2.2117560000000003,Barcelona. Spain
325,Hotel Bristol A Luxury Collection Hotel,K rntner Ring 1 01 Innere Stadt 1015 Vienna Austria,9.1,48.2024907,16.3702656,"Vienna, Austria"
326,Austria Trend Hotel Astoria Wien,K rntner Stra e 32 34 01 Innere Stadt 1010 Vienna Austria,8.5,48.204465500000005,16.3702399,"Vienna, Austria"
327,Austria Trend Hotel Europa Wien,K rntnerstra e 18 Eingang Neuer Markt 3 01 Innere Stadt 1010 Vienna Austria,8.6,48.206210299999995,16.3710387,"Vienna, Austria"
328,Canal House,Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands,9.3,52.376309899999995,4.886270099999999,"Amsterdam, Netherlands"
329,De Vere Devonport House,King William Walk Greenwich London SE10 9JW United Kingdom,8.2,51.480672,-0.0071375,"London, United Kingdom"
330,K K Hotel Maria Theresia,Kirchberggasse 6 07 Neubau 1070 Vienna Austria,8.7,48.2031622,16.3561999,"Vienna, Austria"
331,Small Luxury Hotel Altstadt Vienna,Kirchengasse 41 07 Neubau 1070 Vienna Austria,9.3,48.2047761,16.3512515,"Vienna, Austria"
332,Der Wilhelmshof,Kleine Stadtgutgasse 4 02 Leopoldstadt 1020 Vienna Austria,8.8,48.2185837,16.3881339,"Vienna, Austria"
333,Park Plaza Vondelpark Amsterdam,Koninginneweg 34 36 Oud Zuid 1075 CZ Amsterdam Netherlands,7.5,52.354265500000004,4.8664365,"Amsterdam, Netherlands"
334,Hotel 1898,La Rambla 109 Ciutat Vella 08002 Barcelona Spain,9.2,41.38346729999999,2.1712016,Barcelona. Spain
335,Hilton London Wembley,Lakeside Way Brent London HA9 0BU United Kingdom,8.8,51.5576962,-0.2835263,"London, United Kingdom"
336,Corus Hotel Hyde Park,Lancaster Gate Westminster Borough London W2 3LG United Kingdom,7.6,51.5119446,-0.17993900000000002,"London, United Kingdom"
337,Lancaster London,Lancaster Terrace Westminster Borough London W2 2TY United Kingdom,8.3,51.5119446,-0.17993900000000002,"London, United Kingdom"
338,NH Collection Milano President,Largo Augusto 10 Milan City Center 20122 Milan Italy,8.7,45.4630685,9.1979367,Another City
339,Best Western Blue Tower Hotel,Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,7.4,52.379365899999996,4.8457179,"Amsterdam, Netherlands"
340,Hampshire Hotel Amsterdam American,Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,8.5,52.363889,4.881302,"Amsterdam, Netherlands"
341,Ilunion Bel Art,Lepanto 406 Horta Guinard 08025 Barcelona Spain,7.9,41.410193400000004,2.1695574,Barcelona. Spain
342,25hours Hotel beim MuseumsQuartier,Lerchenfelder Stra e 1 3 07 Neubau 1070 Vienna Austria,8.8,48.2064745,16.3546297,"Vienna, Austria"
343,Hampshire Hotel The Manor Amsterdam,Linnaeusstraat 89 Oost 1093 EK Amsterdam Netherlands,8.3,52.359146700000004,4.926360099999999,"Amsterdam, Netherlands"
344,Best Western Premier Hotel Dante,Mallorca 181 Eixample 08036 Barcelona Spain,8.4,41.3894195,2.1564886000000003,Barcelona. Spain
345,The Mandeville Hotel,Mandeville Place Westminster Borough London W1U 2BE United Kingdom,8.5,51.516516499999994,-0.15097349999999998,"London, United Kingdom"
346,Hallmark Hotel London Chigwell Prince Regent,Manor Road London IG8 8AE United Kingdom,6.9,51.6068054,0.05904159999999999,"London, United Kingdom"
347,IntercityHotel Wien,Mariahilfer Stra e 122 Ecke Kaiserstra e 1 3 07 Neubau 1070 Vienna Austria,8.5,48.196587799999996,16.3413729,"Vienna, Austria"
348,Golden Tulip Amsterdam West,Molenwerf 1 1014 AG Amsterdam Netherlands,8.5,52.385601,4.8470597,"Amsterdam, Netherlands"
349,Eurostars Grand Marina Hotel GL,Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,8.5,41.371308,2.181698,Barcelona. Spain
350,Catalonia Barcelona 505,Muntaner 505 Sarri St Gervasi 08022 Barcelona Spain,8.2,41.4034965,2.1370426,Barcelona. Spain
351,Mercure Amsterdam Sloterdijk Station,Naritaweg 1 Westpoort 1043 BP Amsterdam Netherlands,8.6,52.387288399999996,4.8349748,"Amsterdam, Netherlands"
352,DoubleTree by Hilton Hotel Amsterdam NDSM Wharf,Ndsm Plein 28 Amsterdam Noord 1033 WB Amsterdam Netherlands,8.2,52.4001813,4.893665299999999,"Amsterdam, Netherlands"
353,Hotel V Nesplein,Nes 49 Amsterdam City Center 1012 KD Amsterdam Netherlands,9.1,52.3711037,4.893678700000001,"Amsterdam, Netherlands"
354,De L Europe Amsterdam,Nieuwe Doelenstraat 2 14 Amsterdam City Center 1012 CP Amsterdam Netherlands,9.1,52.367877899999996,4.8948936,"Amsterdam, Netherlands"
355,Inntel Hotels Amsterdam Centre,Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands,8.2,52.3760456,4.8943917,"Amsterdam, Netherlands"
356,Apex City Of London Hotel,No 1 Seething Lane City of London London EC3N 4AX United Kingdom,9.0,51.5104624,-0.0795502,"London, United Kingdom"
357,Onix Liceo,Nou de la Rambla 36 Ciutat Vella 08001 Barcelona Spain,8.1,41.3780229,2.1730782000000004,Barcelona. Spain
358,Abba Sants,Numancia 32 Sants Montju c 08029 Barcelona Spain,8.2,41.3825777,2.1400102999999997,Barcelona. Spain
359,Aloft London Excel,One Eastern Gateway Royal Victoria Dock Newham London E16 1FR United Kingdom,8.7,51.5083719,0.035576800000000006,"London, United Kingdom"
360,DoubleTree by Hilton Amsterdam Centraal Station,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,8.4,52.376752,4.904618,"Amsterdam, Netherlands"
361,Exe Vienna,Ottakringer Stra e 34 36 17 Hernals 1170 Vienna Austria,7.7,48.2149414,16.3365285,"Vienna, Austria"
362,Hotel Spa Villa Olimpica Suites,Pallars 121 125 Sant Mart 08018 Barcelona Spain,8.0,41.3971434,2.1921947,Barcelona. Spain
363,Hotel Beethoven Wien,Papagenogasse 6 06 Mariahilf 1060 Vienna Austria,8.9,48.2000165,16.3641802,"Vienna, Austria"
364,H10 Port Vell 4 Sup,Pas de Sota Muralla 9 Ciutat Vella 08003 Barcelona Spain,9.2,41.3815625,2.1838458,Barcelona. Spain
365,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,8.1,41.4101306,2.2188047,Barcelona. Spain
366,Hotel The Serras,Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,9.6,41.3801815,2.180688,Barcelona. Spain
367,Hotel Casa Fuster G L Monumento,Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,9.0,41.3980162,2.1581229,Barcelona. Spain
368,Hilton Diagonal Mar Barcelona,Passeig del Taulat 262 264 Sant Mart 08019 Barcelona Spain,7.9,41.4084334,2.2178205,Barcelona. Spain
369,Claris Hotel Spa GL,Pau Claris 150 Eixample 08009 Barcelona Spain,8.6,41.3944848,2.1651078,Barcelona. Spain
370,Catalonia Ramblas 4 Sup,Pelai 28 Ciutat Vella 08002 Barcelona Spain,8.6,41.3856387,2.1668274,Barcelona. Spain
371,Arthotel ANA Westbahn,Pelzgasse 1 15 Rudolfsheim F nfhaus 1150 Vienna Austria,8.3,48.197951399999994,16.336318,"Vienna, Austria"
