,Hotel,Address,Score,Latitude,Longitude
126,Courthouse Hotel London,19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,8,51.5143624,-0.1394483
128,Best Western The Boltons Hotel London Kensington,19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,7.7,51.4907493,-0.1934627
130,Best Western Ducs de Bourgogne,19 Rue Du Pont Neuf 1st arr 75001 Paris France,7.7,48.8603483,2.3440535
131,The Gore Hotel Starhotels Collezione,190 Queen s Gate Kensington and Chelsea London SW7 5EX United Kingdom,8.6,51.5001979,-0.1795357
134,The Hoxton Holborn,199 206 High Holborn Camden London WC1V 7BD United Kingdom,9.2,51.5172398,-0.1220324
136,Royal Garden Hotel,2 24 Kensington High St Kensington and Chelsea London W8 4PT United Kingdom,8.8,51.5027022,-0.1882164
137,DoubleTree by Hilton London Ealing,2 8 Hanger Lane Ealing Common London W5 3HN United Kingdom,8.4,51.511521,-0.290706
138,DoubleTree by Hilton London Victoria,2 Bridge Place Victoria Westminster Borough London SW1V 1QA United Kingdom,8.4,51.49398,-0.143372
139,Montagu Place Hotel,2 Montagu Place Westminster Borough London W1H 2ER United Kingdom,9.1,51.5191009,-0.1592
140,H tel Regina,2 place des Pyramides 1st arr 75001 Paris France,9,48.8637503,2.3320406
141,Mercure Paris Gare De Lyon TGV,2 place Louis Armand 12th arr 75012 Paris France,7.9,48.8442949,2.3730938
142,Hotel Dupond Smith,2 rue des Guillemites 4th arr 75004 Paris France,9.3,48.857898,2.3571978
143,Hotel Indigo Paris Opera,2 Rue Edouard VII 9th arr 75009 Paris France,9.1,48.8704371,2.329236
144,Novotel Paris Gare De Lyon,2 Rue Hector Malot 12th arr 75012 Paris France,8.5,48.8453785,2.3753036
146,Park Lane Mews Hotel,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom,7,51.5059334,-0.1489418
149,The Montcalm Marble Arch,2 Wallenberg Place Westminster Borough London W1H 7TN United Kingdom,8.9,51.5150522,-0.159239
151,The Royal Horseguards,2 Whitehall Court Westminster Borough London SW1A 2EJ United Kingdom,8.9,51.5054185,-0.1241499
153,The Hari London,20 Chesham Place Kensington and Chelsea London SW1X 8HQ United Kingdom,9.2,51.4973203,-0.1562558
154,citizenM London Bankside,20 Lavington Street Southwark London SE1 0NZ United Kingdom,9.1,51.5051507,-0.1004724
155,Radisson Blu Edwardian Mercer Street,20 Mercer Street Covent Garden Camden London WC2H 9HD United Kingdom,8.7,51.5139275,-0.1271506
157,Twenty Nevern Square Hotel,20 Nevern Square Kensington and Chelsea London SW5 9PD United Kingdom,8.3,51.4915712,-0.1963192
158,Platine Hotel Spa,20 rue de l Ing nieur Robert Keller 15th arr 75015 Paris France,8.6,48.8473459,2.2832408
159,Mercure Paris Gare Montparnasse,20 Rue De La Ga t 14th arr 75014 Paris France,7.8,48.840012,2.323595
161,Mercure Paris Centre Tour Eiffel,20 Rue Jean Rey 15th arr 75015 Paris France,8,48.8548641,2.2923181
165,Mondrian London,20 Upper Ground Southwark London SE1 9PD United Kingdom,9.1,51.5084036,-0.1067988
168,Saint James Albany Paris Hotel Spa,202 rue de Rivoli 1st arr 75001 Paris France,8,48.8642689,2.3308179
170,Mercure Paris Montparnasse Raspail,207 Boulevard Raspail 14th arr 75014 Paris France,8.2,48.8412131,2.3302954
171,Mercure Paris Pigalle Sacre Coeur,21 Boulevard De Clichy 9th arr 75009 Paris France,8.3,48.8823398,2.3364764
173,The Academy,21 Gower Street Camden London WC1E 6HG United Kingdom,7.8,51.5205441,-0.1308091
176,Le Meridien Piccadilly,21 Piccadilly Westminster Borough London W1J 0BH United Kingdom,7.6,51.5094835,-0.1362538
177,Mercure Paris Terminus Nord,21 rue de Dunkerque 10th arr 75010 Paris France,7.4,48.8794843,2.3556545
179,Royal Garden Champs Elysees,218 220 rue du Faubourg St Honor 8th arr 75008 Paris France,7.3,48.8757155,2.3038781
180,Montcalm Royal London House City of London,22 25 Finsbury Square City Islington London EC2A 1DX United Kingdom,9.2,51.5218066,-0.0856081
183,Novotel Suites Paris Montreuil Vincennes,22 Avenue du professeur lemierre 20th arr 75020 Paris France,7.6,48.8554268,2.4152555
184,London Marriott Hotel West India Quay,22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,8.9,51.5072713,-0.0211213
186,Radisson Blu Portman Hotel London,22 Portman Square Westminster Borough London W1H 7BG United Kingdom,7.9,51.5161911,-0.1579487
188,Hilton London Metropole,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,7.5,51.5195688,-0.170521
193,Maison Albar Hotel Paris C line,23 25 rue de Pont Neuf 1st arr 75001 Paris France,8.9,48.8606187,2.344401
194,Henry VIII,23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,7,51.5124655,-0.182274
195,Goodenough Club,23 Mecklenburgh Square Camden London WC1N 2AD United Kingdom,8.5,51.525535,-0.1180354
196,Park Plaza Victoria London,239 Vauxhall Bridge Road Westminster Borough London SW1V 1EQ United Kingdom,8.6,51.4942539,-0.1414756
198,Club Quarters Hotel St Paul s,24 Ludgate Hill City of London London EC4M 7DR United Kingdom,8.4,51.5139298,-0.101126
199,Hotel Elys es Bassano,24 rue Bassano 16th arr 75016 Paris France,7.9,48.8689307,2.2974503
200,The Nadler Kensington,25 Courtfield Gardens Kensington and Chelsea London SW5 0PG United Kingdom,9,51.4931086,-0.190208
204,Novotel Paris Vaugirard Montparnasse,257 Rue De Vaugirard 15th arr 75015 Paris France,7.6,48.8399018,2.3031011
205,Mayflower Hotel Apartments,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,7.5,51.4916677,-0.1947475
206,Caesar Hotel,26 33 Queens Gardens Westminster Borough London W2 3BE United Kingdom,8.2,51.5134603,-0.1833081
208,Hotel Xanadu,26 42 Bond Street Ealing London W5 5AA United Kingdom,8.6,51.5117907,-0.306071
209,DoubleTree by Hilton London Docklands Riverside,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,8.1,51.5043483,-0.0334436
214,Park Grand Paddington Court,27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,8.1,51.5135555,-0.180002
218,The Zetter Townhouse Marylebone,28 30 Seymour Street Westminster Borough London W1H 7JB United Kingdom,9.3,51.514839,-0.1586656
219,Bloomsbury Palace Hotel,29 31 Gower Street Camden London WC1E 6HG United Kingdom,6.8,51.5207945,-0.1310845
222,Morgan Mees,2e Hugo de Grootstraat 2 6 Westerpark 1052 LC Amsterdam Netherlands,8.8,52.3743712,4.8746196
223,Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,3 avenue Mac Mahon 17th arr 75017 Paris France,8.4,48.8753837,2.2944651
224,Novotel London Paddington,3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,8.5,51.519032,-0.1825943
225,Hyatt Regency Paris Etoile,3 Place du G n ral Koenig 17th arr 75017 Paris France,7.1,48.8802782,2.2843852
226,Hotel Cambon,3 Rue Cambon 1st arr 75001 Paris France,8.3,48.866435,2.3251076
227,The Westin Paris Vend me,3 rue de Castiglione 1st arr 75001 Paris France,8.1,48.8657394,2.3274415
228,H tel Mathis Elys es,3 rue de Ponthieu 8th arr 75008 Paris France,8.7,48.8700325,2.3112736
229,South Place Hotel,3 South Place City of London London EC2M 2AF United Kingdom,9.3,51.5189182,-0.0866009
230,The Royal Park Hotel,3 Westbourne Terrace Lancaster Gate Westminster Borough London W2 3UL United Kingdom,8.7,51.5142054,-0.1766098
231,Henley House Hotel,30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,8.6,51.4922348,-0.1914229
232,Holiday Inn London Camden Lock,30 Jamestown Road Camden London NW1 7BY United Kingdom,8.6,51.5404555,-0.1460833
233,DoubleTree by Hilton London Westminster,30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,8.5,51.4932356,-0.1269082
235,Blakemore Hyde Park,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,8.5,51.5129736,-0.1837431
238,Rathbone,30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,8.3,51.5186801,-0.1354055
240,The Queens Gate Hotel,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,8.2,51.4981225,-0.1799693
241,Radisson Blu Edwardian Hampshire,31 36 Leicester Square Westminster Borough London WC2H 7LH United Kingdom,8.7,51.509963,-0.129797
242,The Marble Arch London,31 Great Cumberland Place Westminster Borough London W1H 7TA United Kingdom,8.1,51.5151247,-0.1600656
243,H tel du Minist re,31 Rue de Surene 8th arr 75008 Paris France,8.8,48.8712877,2.3191903
244,Shangri La Hotel at The Shard London,31 St Thomas Street Southwark London SE1 9QU United Kingdom,9.4,51.5044972,-0.0855562
245,Park Grand London Kensington,33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,8.4,51.4938468,-0.1917582
252,Madeleine Plaza,33 place de la Madeleine 8th arr 75008 Paris France,8.4,48.8710402,2.3248014
253,The Westbridge Hotel,335 337 High Street Stratford Newham London E15 2TF United Kingdom,9,51.5373904,-0.0023367
254,Courthouse Hotel Shoreditch,335 337 Old Street Hackney London EC1V 9LL United Kingdom,8.9,51.5273442,-0.0796152
255,ME London by Melia,336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,9.2,51.511879,-0.118552
256,Hotel Indigo London Kensington,34 44 Barkston Gardens Kensington and Chelsea London SW5 0EW United Kingdom,9.1,51.4920287,-0.1917801
259,Norfolk Towers Paddington,34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,7.9,51.5162883,-0.1721078
263,Best Western Premier Kapital Op ra,34 rue de Moscou 8th arr 75008 Paris France,8.9,48.8814425,2.3235592
264,Best Western Maitrise Hotel Edgware Road,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,6.6,51.521148,-0.171346
265,Georgian House Hotel,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,8.4,51.490724,-0.143868
270,The Chesterfield Mayfair,35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,9.1,51.5076899,-0.1471358
272,Radisson Blu Edwardian Berkshire,350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,8.1,51.5146025,-0.1481978
274,Pestana Chelsea Bridge Hotel Spa,354 Queenstown Road Battersea London SW8 4AE United Kingdom,8.6,51.4815995,-0.1481053
275,Arbor Hyde Park,36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,8.4,51.5126488,-0.1803795
277,Hotel Whistler,36 rue de Saint Quentin 10th arr 75010 Paris France,9.2,48.879314,2.3560185
278,Nottingham Place Hotel,37 Nottingham Place Westminster Borough London W1U 5LT United Kingdom,8.2,51.522143,-0.153385
279,Strand Palace Hotel,372 Strand Westminster Borough London WC2R 0JJ United Kingdom,8.1,51.5110993,-0.1208673
285,H tel De Castiglione,38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France,7.2,48.8691758,2.3205807
286,Hilton London Olympia,380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,7.4,51.4967399,-0.2064723
287,Rubens At The Palace,39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,8.7,51.4981471,-0.1436492
288,every hotel Piccadilly,39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,8.8,51.5101462,-0.1315061
289,Millennium Gloucester Hotel London,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,7.8,51.4935083,-0.1834346
290,Fielding Hotel,4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,8.7,51.5139315,-0.1219893
293,Holiday Inn London West,4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom,8.1,51.5210117,-0.2628618
294,The Soho Hotel,4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,9.5,51.5139805,-0.1337948
295,Maison Albar Hotel Paris Op ra Diamond,4 rue de la P pini re 8th arr 75008 Paris France,8.8,48.875301,2.323407
296,Hotel Park Lane Paris,4 Rue La Boetie 8th arr 75008 Paris France,8.7,48.8745879,2.3188143
297,Andaz London Liverpool Street,40 Liverpool Street City of London London EC2M 7QN United Kingdom,9,51.5172825,-0.0812451
298,Novotel London Canary Wharf,40 Marsh Wall Tower Hamlets London E14 9TP United Kingdom,9,51.5011704,-0.0232607
300,citizenM Tower of London,40 trinity square City of London London EC3N 4DJ United Kingdom,9.1,51.510237,-0.0764428
307,La Suite West Hyde Park,41 51 Inverness Terrace Westminster Borough London W2 3JN United Kingdom,8,51.5126758,-0.1867828
308,St James Court A Taj Hotel London,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,8.7,51.4986732,-0.1376867
310,Shaftesbury Suites London Marble Arch,41 Great Cumberland Place Westminster Borough London W1H 7LG United Kingdom,8.1,51.515755,-0.1603335
311,Grange Strathmore Hotel,41 Queens Gate Gardens Kensington and Chelsea London SW7 5NB United Kingdom,8,51.4958184,-0.1813958
313,Villa Panth on,41 Rue Des Ecoles 5th arr 75005 Paris France,8.1,48.8488044,2.3469889
314,The RE London Shoreditch,419 437 Hackney Road London E2 8PP United Kingdom,7.8,51.531979,-0.061598
321,London City Suites,42 46 Chiswell Street City of London London EC1Y 4SB United Kingdom,8.9,51.5206309,-0.0915341
323,Mercure Paris Opera Grands Boulevards,42 Rue Des Petites Ecuries 10th arr 75010 Paris France,8,48.8740668,2.3502172
324,St George s Hotel Wembley,43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,8.9,51.5553678,-0.2864945
326,Le Mathurin Hotel Spa,43 Rue des Mathurins 8th arr 75008 Paris France,8.6,48.8732068,2.3239015
327,The Justin James Hotel,43 Worple Road Wimbledon London SW19 4JZ United Kingdom,8.3,51.4202661,-0.211268
328,Millennium Hotel London Mayfair,44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,7.8,51.510574,-0.1509951
331,The Curtain,45 Curtain Road Hackney London EC2A 4PJ United Kingdom,9.1,51.5237209,-0.0806178
332,St Martins Lane A Morgans Original,45 St Martin s Lane Westminster Borough London WC2N 4HX United Kingdom,9,51.5104696,-0.1265824
333,Novotel London Blackfriars,46 Blackfriars Road Southwark London SE1 8NZ United Kingdom,8.7,51.5050165,-0.1049831
335,The Marylebone Hotel,47 Welbeck Street Westminster Borough London W1G 8DN United Kingdom,8.9,51.5180207,-0.1500567
337,The Premier Notting Hill,5 7 Princes Square Kensington and Chelsea London W2 4NP United Kingdom,7.3,51.5127453,-0.1926437
340,H tel Pont Royal,5 7 Rue De Montalembert 7th arr 75007 Paris France,8.6,48.8565629,2.3273623
341,H tel Th r se,5 7 Rue Th r se 1st arr 75001 Paris France,9,48.8816306,2.2992146
342,Best Western Premier Trocadero La Tour,5 bis rue Massenet 16th arr 75016 Paris France,8,48.8583127,2.2795075
343,Holiday Inn London Whitechapel,5 Cavell Street Tower Hamlets London E1 2BP United Kingdom,8.5,51.5154006,-0.0572364
344,Washington Mayfair Hotel,5 Curzon St Westminster Borough London W1J 5HL United Kingdom,7.9,51.5060237,-0.151078
347,Radisson Blu Edwardian New Providence Wharf,5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,9,51.5065578,-0.004514
348,Hilton London Tower Bridge,5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom,8.7,51.504575,-0.082675
350,Novotel London Wembley,5 Olympic Way Wembley Brent London HA9 0NP United Kingdom,8.9,51.5611271,-0.2787261
351,Warwick Paris Former Warwick Champs Elysees ,5 rue de Berri 8th arr 75008 Paris France,8.1,48.8722019,2.3030866
352,Le Cinq Codet,5 rue Louis Codet 7th arr 75007 Paris France,9,48.8547869,2.3084819
353,Sanderson A Morgans Hotel,50 Berners Street Westminster Borough London W1T 3NG United Kingdom,9,51.5174853,-0.1372109
355,Commodore Hotel,50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,6.7,51.5124496,-0.1795215
356,The Westbourne Hyde Park,51 Gloucester Terrace Westminster Borough London W2 3DQ United Kingdom,8.9,51.5131074,-0.1778707
358,The Lodge Hotel Putney,52 54 Upper Richmond Road Wandsworth London SW15 2RN United Kingdom,8.2,51.4572991,-0.2055425
360,Shaftesbury Hyde Park International,52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,8,51.5123968,-0.186124
361,The Montcalm At Brewery London City,52 Chiswell Street City of London London EC1Y 4SD United Kingdom,8.8,51.5208155,-0.0915319
363,Novotel London City South,53 61 Southwark Bridge Road Southwark London SE1 9HH United Kingdom,8.7,51.5054832,-0.0951196
365,Chateau Frontenac,54 rue Pierre Charron 8th arr 75008 Paris France,8.5,48.8689468,2.3026559
366,Shaftesbury Premier London Paddington,55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,7.3,51.5153672,-0.1783271
367,Mimi s Hotel Soho,56 57 Frith Street Westminster Borough London W1D 3JG United Kingdom,8.3,51.5140329,-0.1320651
369,New Linden Hotel,59 Leinster Square Kensington and Chelsea London W2 4PS United Kingdom,7.6,51.5133832,-0.1926617
371,Park Plaza London Waterloo,6 Hercules Road Lambeth London SE1 7DP United Kingdom,8.8,51.4982412,-0.1134715
376,citizenM London Shoreditch,6 Holywell Lane Hackney London EC2A 3ET United Kingdom,9.1,51.5241373,-0.0786983
379,Newhotel Roblin,6 rue Chauveau Lagarde 8th arr 75008 Paris France,8.8,48.8714152,2.3239679
380,Hotel VIU Milan,6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,8.9,45.488764,9.183057
381,Sofitel London St James,6 Waterloo Place Westminster Borough London SW1Y 4AN United Kingdom,9.2,51.5076044,-0.132266
382,DoubleTree by Hilton London Islington,60 Pentonville Road Islington London N1 9LA United Kingdom,8.6,51.5322508,-0.1095714
383,Club Quarters Hotel Lincoln s Inn Fields,61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,8.9,51.5160988,-0.1181749
384,Hotel Saint Dominique,62 Rue Saint Dominique 7th arr 75007 Paris France,8.7,48.8599998,2.3087425
385,Clayton Hotel Chiswick,626 Chiswick High St Chiswick London W4 5RY United Kingdom,8.5,51.4924184,-0.2784701
387,Park Plaza London Park Royal,628 Western Avenue London W3 0TA United Kingdom,8.9,51.527262,-0.282992
389,The Piccadilly London West End,65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,9,51.5121957,-0.1318384
391,Best Western Hotel Montmartre Sacr Coeur,66 Boulevard Barb s 18th arr 75018 Paris France,7.2,48.888539,2.3498459
392,Kingsway Hall Hotel,66 Great Queen Street Covent Garden Camden London WC2B 5BX United Kingdom,8.5,51.5158643,-0.1200625
395,Hotel Cafe Royal,68 Regent Street West End Mayfair Westminster Borough London W1B 4DY United Kingdom,9.3,51.5100916,-0.1359431
397,Grange Rochester Hotel,69 Vincent Square Westminster Borough London SW1P 2PA United Kingdom,8.2,51.4942654,-0.1366026
398,Gainsborough Hotel,7 11 Queensberry Place Kensington and Chelsea London SW7 2DL United Kingdom,6.9,51.4948416,-0.1772056
399,St James Hotel Club Mayfair,7 8 Park Place Westminster Borough London SW1A 1LP United Kingdom,8.7,51.5061587,-0.1402803
400,Apex London Wall Hotel,7 9 Copthall Avenue City of London London EC2R 7NJ United Kingdom,9.1,51.5160484,-0.0880181
401,Seraphine Kensington Gardens Hotel,7 9 High Street Kensington Kensington and Chelsea London W8 5NP United Kingdom,7.4,51.5021027,-0.187901
404,Club Quarters Hotel Gracechurch,7 Gracechurch Street City of London London EC3V 0DR United Kingdom,8.2,51.5127964,-0.0847973
406,DoubleTree by Hilton Hotel London Tower of London,7 Pepys Street City of London London EC3N 4AF United Kingdom,8.7,51.5108412,-0.0780581
416,Melia Paris Notre Dame,7 Rue De L h tel Colbert 5th arr 75005 Paris France,8.7,48.8515198,2.3486511
