,Hotel,City,Reviews,Date,Score,Aspect,Sentiment
10,Park Plaza County Hall London,"London, United Kingdom", I like how easy it was to all attractions so close to London eye tube station,8/3/2017,7.9,"[(""so station"",""attractions""), (""station"",""tube"")]","{'attractions': [0, 0], 'tube': [0, 0]}"
11,Park Plaza County Hall London,"London, United Kingdom", Service and friendly staff,8/3/2017,10.0,"[(""friendly"",""staff"")]","{'staff': [0.4939, 0]}"
12,Park Plaza County Hall London,"London, United Kingdom", Shower was incredible,8/3/2017,8.3,"[(""incredible"",""Shower"")]","{'Shower': [0, 0]}"
13,InterContinental London Park Lane,"London, United Kingdom", The staff the location and the breakfast ,8/3/2017,9.6,[],{}
14,Novotel Suites Paris Nord 18 me,"Paris, France", Perfect location for the Stade de France and Metro to centre of Paris Good bus links to Stade de France bus stop right outside hotel Pleasant walk back to hotel afterwards I loved the diverse nature of the area Coffee maker did not work apart from that the room was spacious clean and comfortable Better than I expected ,8/3/2017,7.5,"[(""links"",""bus""), (""stop"",""bus""), (""stop"",""hotel""), (""outside"",""hotel""), (""loved"",""nature""), (""diverse"",""nature""), (""spacious"",""room""), (""work"",""maker"")]","{'room': [0, 0], 'hotel': [0, -0.296], 'bus': [0, -0.296], 'nature': [0.5994, 0], 'maker': [0, 0]}"
15,Grand Royale London Hyde Park,"London, United Kingdom", Close to Kensington Palace which is the reason I stayed there Georgeous lobby and sitting room full of history Helpful staff ,8/3/2017,7.1,"[(""which"",""reason""), (""Georgeous"",""lobby""), (""sitting"",""room""), (""Helpful"",""staff"")]","{'room': [0, 0], 'staff': [0.4215, 0], 'lobby': [0, 0], 'reason': [0, 0]}"
16,Grand Royale London Hyde Park,"London, United Kingdom", Bed was very comfy staff are very nice in a great area high class hotel,8/3/2017,9.6,"[(""very comfy"",""Bed""), (""very nice"",""staff""), (""great"",""hotel""), (""hotel"",""area""), (""high"",""hotel""), (""hotel"",""class"")]","{'staff': [0.4754, 0], 'hotel': [0.6249, 0], 'class': [0, 0], 'area': [0, 0], 'Bed': [0, 0]}"
17,Grand Royale London Hyde Park,"London, United Kingdom", Grand location very helpful staff Beautiful interior ,8/3/2017,8.8,"[(""very helpful"",""staff""), (""Beautiful"",""interior"")]","{'staff': [0.4754, 0], 'interior': [0.5994, 0]}"
18,Grand Royale London Hyde Park,"London, United Kingdom", The breakfast,8/3/2017,10.0,[],{}
19,Grand Royale London Hyde Park,"London, United Kingdom", give us free upgrade,8/3/2017,7.9,"[(""give"",""upgrade""), (""free"",""upgrade"")]","{'upgrade': [0.5106, 0]}"
20,Crowne Plaza London Kings Cross,"London, United Kingdom", amazing hotel and location fantasics rooms and plenty of space staff very helpful,8/3/2017,10.0,"[(""amazing"",""hotel""), (""fantasics"",""location""), (""staff"",""space""), (""very helpful"",""staff"")]","{'space': [0, 0], 'hotel': [0.5859, 0], 'staff': [0.4754, 0], 'location': [0, 0]}"
21,Crowne Plaza London Kings Cross,"London, United Kingdom", Nothing,8/3/2017,4.2,[],{}
22,Pullman Paris Centre Bercy,"Paris, France", Excellent location close to both the gares de Lyon and Bercy and the lovely Bercy Park and the Bercy village with plenty of lively restaurants and bars Very good breakfast Helpful staff ,8/3/2017,9.6,"[(""Excellent"",""close""), (""close"",""location""), (""lively"",""restaurants""), (""good"",""breakfast""), (""Helpful"",""staff"")]","{'staff': [0.4215, 0], 'close': [0.5719, 0], 'breakfast': [0.4404, 0], 'restaurants': [0.4404, 0], 'location': [0, 0]}"
23,Pullman Paris Centre Bercy,"Paris, France", dining facilities,8/3/2017,4.6,"[(""dining"",""facilities"")]","{'facilities': [0, 0]}"
24,Gardette Park Hotel,"Paris, France", This hotel is a boutique hotel so everything look old but it works as normal The location is very nice easy go to Louvre Museum Many restaurants nearby and you can find some local coffee shop in the morning The staff is really helpful and friendly,8/3/2017,9.6,"[(""hotel"",""boutique""), (""so look"",""hotel""), (""look"",""everything""), (""old"",""look""), (""very nice"",""location""), (""easy"",""go""), (""Many"",""restaurants""), (""nearby"",""restaurants""), (""find"",""shop""), (""local"",""shop""), (""shop"",""coffee""), (""friendly"",""staff""), (""really helpful"",""staff"")]","{'everything': [0, 0], 'hotel': [0, 0], 'go': [0.4404, 0], 'boutique': [0, 0], 'look': [0, 0], 'staff': [0.9693, 0], 'location': [0.4754, 0], 'shop': [0, 0], 'coffee': [0, 0], 'restaurants': [0, 0]}"
25,Novotel London West,"London, United Kingdom", Staff where very friendly,8/3/2017,9.6,[],{}
26,H tel Juliana Paris,"Paris, France", My husband and I were traveling as a part of our honeymoon and the room was provided with bottle of wine chocolates and more thank you very much for all your hospitality ,8/3/2017,10.0,"[(""and"",""husband""), (""more provided"",""room""), (""chocolates"",""wine""), (""much thank"",""room"")]","{'room': [0.3612, 0], 'husband': [0, 0], 'wine': [0, 0]}"
27,Knightsbridge Hotel,"London, United Kingdom", The hotel has a really nice feel about it It s not too big and so feels cosy The other guests seem normal too and the staff weren t up themselves Lovely and clean and beautiful food ,8/3/2017,10.0,"[(""has"",""hotel""), (""up themselves"",""staff""), (""other"",""guests""), (""too normal"",""guests""), (""clean"",""food""), (""beautiful"",""food"")]","{'staff': [0, 0], 'hotel': [0, 0], 'food': [1.0013, 0], 'guests': [0, 0]}"
28,Grange St Paul s Hotel,"London, United Kingdom", Comfy beds,8/3/2017,5.0,"[(""Comfy"",""beds"")]","{'beds': [0, 0]}"
29,Grange St Paul s Hotel,"London, United Kingdom", Good bedding,8/3/2017,7.1,[],{}
30,The Nadler Victoria,"London, United Kingdom", Staff was 1st rate The young woman Carmen with the most enchanting eyes I might add was especially friendly and helpful ,8/3/2017,9.6,"[(""rate"",""Staff""), (""young"",""woman""), (""most enchanting"",""eyes"")]","{'eyes': [0, 0], 'woman': [0, 0], 'Staff': [0, 0]}"
31,Novotel London Tower Bridge,"London, United Kingdom", The rooms were lovely and modern ,8/3/2017,10.0,"[(""lovely"",""rooms""), (""modern"",""rooms"")]","{'rooms': [0.5859, 0]}"
32,H tel de Jos phine BONAPARTE,"Paris, France", Great location very central Staff friendly particularly the female staff members ,8/3/2017,7.1,"[(""female"",""members""), (""particularly members"",""staff"")]","{'staff': [0, 0], 'members': [0, 0]}"
33,Le Senat,"Paris, France", Good Service,8/3/2017,9.2,[],{}
34,Le Senat,"Paris, France", Good Service,8/3/2017,9.2,[],{}
35,Holiday Inn Paris Montparnasse Pasteur,"Paris, France", Staff were very pleasant to deal with ,8/3/2017,4.6,"[(""very pleasant"",""Staff"")]","{'Staff': [0.5563, 0]}"
36,W London Leicester Square,"London, United Kingdom", Hotel and position,8/3/2017,9.2,[],{}
37,Pullman London St Pancras,"London, United Kingdom", Excellent property ,8/3/2017,9.6,"[(""Excellent"",""property"")]","{'property': [0.5719, 0]}"
38,Doubletree by Hilton London Kensington,"London, United Kingdom", Location,8/3/2017,6.3,[],{}
39,Ace Hotel London Shoreditch,"London, United Kingdom", Really comfy cool hotel in a great location,8/3/2017,10.0,"[(""really comfy"",""hotel""), (""cool"",""hotel""), (""great"",""location"")]","{'hotel': [0.3182, 0], 'location': [0.6249, 0]}"
40,Ace Hotel London Shoreditch,"London, United Kingdom", Very modern boutique style hotel Very good location Near to many public transport ,8/3/2017,9.6,"[(""very modern"",""boutique""), (""good"",""location""), (""many"",""transport""), (""public"",""transport"")]","{'location': [0.4404, 0], 'boutique': [0, 0], 'transport': [0, 0]}"
41,The Grosvenor,"London, United Kingdom", Staff was very helpful with any requests we made Recommend the executive level for the extra s provided to the guests The room was clean and wasn t just a hotel room had a den feel so that was nice Location of hotel was perfect for our needs ,8/3/2017,10.0,"[(""very helpful"",""Staff""), (""level"",""executive""), (""Recommend"",""level""), (""room"",""hotel""), (""had"",""room""), (""feel"",""den""), (""clean"",""room"")]","{'room': [0.4019, 0], 'hotel': [0, 0], 'Staff': [0.4754, 0], 'level': [0.3612, 0], 'den': [0, 0], 'executive': [0, 0]}"
42,Thistle Kensington Gardens,"London, United Kingdom", Air conditioning Perfect location by Kensington Gardens 1 minute walk to bus or subway Clean newly refinished interior ,8/3/2017,8.8,"[(""walk"",""location""), (""newly refinished"",""interior"")]","{'location': [0, 0], 'interior': [0, 0]}"
43,Thistle Kensington Gardens,"London, United Kingdom", It was in an excellent position and enjoyed walking through Kensington Gardens,8/3/2017,7.5,"[(""excellent"",""position"")]","{'position': [0.5719, 0]}"
44,Thistle Kensington Gardens,"London, United Kingdom", Location,8/3/2017,4.6,[],{}
45,Thistle Kensington Gardens,"London, United Kingdom", Absolutely everything,8/3/2017,8.3,[],{}
46,Hilton Paris Opera,"Paris, France", really good breakfast very comfy room very good location hotel had great facilities staff spoke very good english and were very helpful,8/3/2017,10.0,"[(""really good"",""breakfast""), (""very comfy"",""room""), (""very good"",""room""), (""hotel"",""location""), (""had"",""hotel""), (""had"",""staff""), (""great"",""staff""), (""staff"",""facilities""), (""spoke"",""breakfast""), (""very helpful"",""breakfast"")]","{'room': [0.4927, 0], 'hotel': [0, 0], 'location': [0, 0], 'staff': [0.6249, 0], 'breakfast': [0.9681, 0], 'facilities': [0, 0]}"
47,Holiday Inn London Stratford City,"London, United Kingdom", Close proximity to rail services shops and restaurants as well as start point for Ride London Staff were friendly and helpful AirCon in room was very welcome ,8/3/2017,9.6,"[(""Close"",""proximity""), (""services"",""proximity""), (""services"",""shops""), (""services"",""restaurants""), (""services"",""point""), (""point"",""start""), (""friendly"",""Staff""), (""helpful"",""Staff"")]","{'point': [0, 0], 'proximity': [0, 0], 'start': [0, 0], 'shops': [0, 0], 'Staff': [0.9154, 0], 'restaurants': [0, 0]}"
48,Staybridge Suites London Stratford,"London, United Kingdom", Really enjoyed the location to the Start of Ride London 100 could not be easier Excellent location to all trains Special mention to our Reception area and Especially MD Mohammad he was excellent helped with everything and everybody all the times ,8/3/2017,9.6,"[(""really enjoyed"",""location""), (""easier"",""Ride""), (""Excellent"",""location""), (""Special"",""mention""), (""area"",""Reception""), (""and"",""area"")]","{'mention': [0.4019, 0], 'location': [1.1282, 0], 'area': [0, 0], 'Ride': [0.4215, 0], 'Reception': [0, 0]}"
49,Shepherd s Bush Boutique Hotel,"London, United Kingdom", The room was perfect Comfy bed and very quiet Location was superb and Michael at reception was fantastic I left my watch after I had checked out on the Sunday He called within the hour and it was in the post the following day Thank you ,8/3/2017,10.0,"[(""perfect"",""room""), (""left"",""watch""), (""following"",""day"")]","{'room': [0.5719, 0], 'day': [0, 0], 'watch': [0, 0]}"
50,11 Cadogan Gardens,"London, United Kingdom", We were particularly impressed by the very warm welcome we received a lovely hotel in a superb location good size room with excellent bathroom We will come back and already have recommended it to friends and relatives ,8/3/2017,9.6,"[(""received"",""hotel""), (""lovely"",""hotel""), (""superb"",""room""), (""room"",""location""), (""good"",""room""), (""room"",""size""), (""excellent"",""bathroom"")]","{'room': [1.0653000000000001, 0], 'hotel': [0.5859, 0], 'bathroom': [0.5719, 0], 'size': [0, 0], 'location': [0, 0]}"
51,H tel Diva Opera,"Paris, France", Location was perfect within walking distance to everything you need ,8/3/2017,8.3,"[(""walking"",""distance"")]","{'distance': [0, 0]}"
52,Marlin Waterloo,"London, United Kingdom", New property great coffee maker in room Fantastic shower ,8/3/2017,10.0,"[(""great"",""maker""), (""maker"",""coffee""), (""Fantastic"",""shower"")]","{'maker': [0.6249, 0], 'coffee': [0, 0], 'shower': [0.5574, 0]}"
53,Marlin Waterloo,"London, United Kingdom", Everything 100 perfect,8/3/2017,10.0,"[(""perfect"",""Everything"")]","{'Everything': [0.5719, 0]}"
54,Marlin Waterloo,"London, United Kingdom", Staff were friendly and rooms clean,8/3/2017,7.1,"[(""friendly"",""Staff""), (""clean"",""Staff"")]","{'Staff': [0.8957999999999999, 0]}"
55,Marlin Waterloo,"London, United Kingdom", Lovely Staff Clean and Bed is comfortable accessible to all public transportations,8/3/2017,8.5,"[(""accessible"",""Bed""), (""public"",""transportations"")]","{'transportations': [0, 0], 'Bed': [0, 0]}"
56,Batty Langley s,"London, United Kingdom", Nice hotel and decor,8/3/2017,6.3,"[(""Nice"",""hotel"")]","{'hotel': [0.4215, 0]}"
57,Best Western Mornington Hotel Hyde Park,"London, United Kingdom", Comfy bed very close to Lancaster Gate subway station and Kensington Gardens ,8/3/2017,8.8,"[(""Comfy"",""bed""), (""very station"",""subway"")]","{'subway': [0, 0], 'bed': [0, 0]}"
58,Best Western Mornington Hotel Hyde Park,"London, United Kingdom", Beautiful buffet breakfast Proximity to transport Close to Kensington gardens Lovely walks in area Plenty of places to eat nearby ,8/3/2017,10.0,"[(""Beautiful"",""buffet"")]","{'buffet': [0.5994, 0]}"
59,Best Western Mornington Hotel Hyde Park,"London, United Kingdom", Bed comfy nice reading room,8/3/2017,7.9,"[(""Bed"",""room""), (""comfy"",""room""), (""nice"",""room""), (""room"",""reading"")]","{'room': [0.4215, 0], 'reading': [0, 0]}"
60,Arbor City,"London, United Kingdom", Nice hotel very clean and modern Close to aldegatr east tube station making it easy to get anywhere ,8/3/2017,10.0,"[(""Nice"",""hotel""), (""aldegatr"",""station""), (""east"",""station""), (""station"",""tube"")]","{'hotel': [0.4215, 0], 'station': [0, 0], 'tube': [0, 0]}"
61,The Bryson Hotel,"London, United Kingdom", Staff very friendly helpful Room its facilities good Location good easy walk to St Pauls area ,8/3/2017,6.3,"[(""good"",""facilities"")]","{'facilities': [0.4404, 0]}"
62,Hilton London Hyde Park,"London, United Kingdom", The hotel was located right by Queensway underground station The Ac in the room was faulty the day we checked in we complained and our room was changed immediately to a bigger one Free upgrade and we remained there till we left ,8/3/2017,9.6,"[(""right located"",""hotel""), (""underground"",""station""), (""faulty"",""day""), (""immediately changed"",""room"")]","{'room': [0, 0], 'hotel': [0, 0], 'day': [0, -0.3182], 'station': [0, 0]}"
63,Staunton Hotel B B,"London, United Kingdom", Location is excellent the bathroom and shower were great Overall well worth the cost for a sort stay in London ,8/3/2017,7.1,"[(""great"",""bathroom""), (""great"",""shower""), (""stay"",""sort"")]","{'bathroom': [0.6249, 0], 'shower': [0.6249, 0], 'sort': [0, 0]}"
64,Le Marceau Bastille,"Paris, France", I didn t have breakfast ,8/3/2017,9.2,"[(""have"",""breakfast"")]","{'breakfast': [0, 0]}"
65,Mercure London Bloomsbury Hotel,"London, United Kingdom", Excellent location room was spacious and staff were great nothing was too much trouble ,8/3/2017,10.0,"[(""Excellent"",""room""), (""room"",""location""), (""spacious"",""room""), (""nothing"",""staff""), (""great"",""nothing""), (""too much"",""trouble"")]","{'room': [0.5719, 0], 'location': [0, 0], 'nothing': [0.6249, 0], 'staff': [0, 0], 'trouble': [0, 0]}"
66,Mercure London Bloomsbury Hotel,"London, United Kingdom", All the staff were extremely helpful friendly The buffet breakfast was excellent ,8/3/2017,9.2,"[(""friendly"",""staff""), (""breakfast"",""buffet""), (""excellent"",""breakfast"")]","{'staff': [0.4939, 0], 'breakfast': [0.5719, 0], 'buffet': [0, 0]}"
67,The Chamberlain,"London, United Kingdom", Excellent value for money room was idea staff very helpful,8/3/2017,10.0,"[(""Excellent"",""value""), (""room"",""money""), (""staff"",""value""), (""staff"",""idea""), (""very helpful"",""staff"")]","{'staff': [0.4754, 0], 'money': [0, 0], 'value': [0.5719, 0], 'idea': [0, 0]}"
68,Radisson Blu Edwardian Grafton,"London, United Kingdom", Accommodating on arrival and helpful with valet parking and taxis to restaurant ,8/3/2017,7.1,"[(""valet"",""parking"")]","{'parking': [0, 0]}"
69,Radisson Blu Edwardian Grafton,"London, United Kingdom", Andrew at hotel desk was very helpful and professional on arrival,8/3/2017,10.0,"[(""desk"",""hotel"")]","{'hotel': [0, 0]}"
70,Radisson Blu Edwardian Grafton,"London, United Kingdom", bed is very comfortable breakfast is great location very central,8/3/2017,7.1,"[(""very comfortable"",""bed""), (""location"",""breakfast""), (""great"",""location""), (""very central"",""location"")]","{'breakfast': [0, 0], 'bed': [0.5563, 0], 'location': [0.6249, 0]}"
71,Radisson Blu Edwardian Grafton,"London, United Kingdom", Comfy Bed,8/3/2017,7.9,[],{}
72,Radisson Blu Edwardian Grafton,"London, United Kingdom", The breakfast,8/3/2017,7.9,[],{}
73,The Henrietta Hotel,"London, United Kingdom", Comfortable beds and lovely shower ,8/3/2017,9.6,"[(""Comfortable"",""beds""), (""lovely"",""shower"")]","{'beds': [0.5106, 0], 'shower': [0.5859, 0]}"
74,Sofitel Paris Arc De Triomphe,"Paris, France", Location,8/3/2017,10.0,[],{}
75,Hilton London Paddington,"London, United Kingdom", Helpful doorman and bellman Nice breakfast ,8/3/2017,5.8,"[(""Helpful"",""doorman""), (""Nice"",""breakfast"")]","{'breakfast': [0.4215, 0], 'doorman': [0.4215, 0]}"
76,Hilton London Paddington,"London, United Kingdom", So handy for the station,8/3/2017,6.3,[],{}
77,Hilton London Paddington,"London, United Kingdom", The room space and design Waiting staff,8/3/2017,6.3,"[(""Waiting"",""staff"")]","{'staff': [0, 0]}"
78,Hilton London Paddington,"London, United Kingdom", Very nice hotel breakfast was very good check out was easy ,8/3/2017,9.6,"[(""very nice"",""breakfast""), (""breakfast"",""hotel""), (""very good"",""check""), (""easy"",""breakfast"")]","{'breakfast': [0.9158, 0], 'check': [0.4927, 0], 'hotel': [0, 0]}"
79,Kensington House Hotel,"London, United Kingdom", Lovely clean boutique hotel Friendly staff great bed and linens very important to me and a good shower Interesting room with bay windows Terrific location walk 2 blocks to Kensington Gardens ,8/3/2017,10.0,"[(""Lovely"",""boutique""), (""clean"",""boutique""), (""great"",""bed""), (""very important"",""bed""), (""Friendly"",""bed""), (""bed"",""staff""), (""good"",""shower""), (""Interesting"",""room""), (""windows"",""bay""), (""walk"",""location"")]","{'room': [0.4019, 0], 'bed': [1.3904, 0], 'boutique': [0.9878, 0], 'staff': [0, 0], 'location': [0, 0], 'shower': [0.4404, 0], 'bay': [0, 0]}"
80,Novotel Paris 14 Porte d Orl ans,"Paris, France", Good location close to metro good and safe parking beneath the hotel good rooms with a real good bed We had two adjacent and connecting rooms ,8/3/2017,8.8,"[(""Good"",""close""), (""close"",""location""), (""safe"",""parking""), (""good"",""rooms""), (""real"",""bed""), (""good"",""bed""), (""connecting"",""rooms"")]","{'close': [0.4404, 0], 'rooms': [0.4404, 0], 'parking': [0.4404, 0], 'bed': [0.4404, 0], 'location': [0, 0]}"
81,COQ Hotel Paris,"Paris, France", the best experience I ever had the Staff are incredibly friendly and make you always feel like home the room is also I like it the most very comfortable very clean I will definitely come back again ,8/3/2017,10.0,"[(""best"",""experience""), (""make"",""Staff""), (""also is"",""room""), (""incredibly friendly"",""Staff"")]","{'room': [0, 0], 'Staff': [0.5413, 0], 'experience': [0.6369, 0]}"
82,COQ Hotel Paris,"Paris, France", Staff is very friendly and helpful Looks like it was just remodeled ,8/3/2017,9.2,"[(""very friendly"",""Staff""), (""helpful"",""Staff"")]","{'Staff': [0.9628, 0]}"
83,COQ Hotel Paris,"Paris, France", Excellent location right on the metro not centre of Paris but loads of facilities near,8/3/2017,10.0,"[(""Excellent"",""right""), (""right"",""location""), (""center"",""right"")]","{'location': [0, 0], 'right': [0.5719, 0]}"
84,The Leonard Hotel,"London, United Kingdom", Staff were very helpful and efficient Atmosphere cosy and and comfortable Food excellent ,8/3/2017,8.3,"[(""very helpful"",""Staff""), (""efficient"",""Staff"")]","{'Staff': [0.8969, 0]}"
85,DoubleTree by Hilton London Hyde Park,"London, United Kingdom", Good value nice staff very central ,8/3/2017,8.3,"[(""Good"",""value""), (""nice"",""staff""), (""very central"",""staff"")]","{'staff': [0.4215, 0], 'value': [0.4404, 0]}"
86,DoubleTree by Hilton London Hyde Park,"London, United Kingdom", Location with respect to transportation,8/3/2017,8.3,[],{}
87,DoubleTree by Hilton London Hyde Park,"London, United Kingdom", staff were friendly,8/3/2017,9.2,"[(""friendly"",""staff"")]","{'staff': [0.4939, 0]}"
88,M by Montcalm Shoreditch London Tech City,"London, United Kingdom", Friendly and welcoming staff nicely appointed rooms love the Nespresso machine comfortable bed and very clean and tidy overall a great find ,8/3/2017,8.8,"[(""welcoming"",""staff""), (""nicely appointed"",""rooms""), (""overall find"",""machine""), (""machine"",""bed""), (""very clean"",""machine"")]","{'staff': [0.4404, 0], 'machine': [0.4576, 0], 'bed': [0, 0], 'rooms': [0.4404, 0]}"
89,M by Montcalm Shoreditch London Tech City,"London, United Kingdom", A very modern and comfortable hotel next to the Old Street metro station It is a big hotel but not anonymous The staff gives personal attention and is very friendly and helpful The room is spacious with a very comfortable bed Lights curtains and tv can all be controlled with a touch screen very futuristic We had a room with a beautiful view over the city Overall excellent value for money ,8/3/2017,10.0,"[(""very modern"",""hotel""), (""comfortable"",""hotel""), (""station"",""metro""), (""It"",""hotel""), (""big"",""hotel""), (""gives"",""staff""), (""gives"",""attention""), (""personal"",""attention""), (""very friendly"",""staff""), (""spacious"",""room""), (""very comfortable"",""bed""), (""curtains"",""Lights""), (""all controlled"",""curtains""), (""controlled"",""tv""), (""screen"",""touch""), (""very futuristic"",""screen""), (""beautiful"",""view""), (""had"",""room""), (""Overall"",""value""), (""excellent"",""value"")]","{'room': [0, 0], 'tv': [0, 0], 'bed': [0.5563, 0], 'touch': [0, 0], 'curtains': [0, 0], 'value': [0.5719, 0], 'view': [0.5994, 0], 'hotel': [0.5106, 0], 'screen': [0, 0], 'staff': [0.5413, 0], 'Lights': [0, 0], 'metro': [0, 0], 'attention': [0, 0]}"
90,M by Montcalm Shoreditch London Tech City,"London, United Kingdom", Londons secret gem among the hotel list The electronic devices in the room are first rate ,8/3/2017,10.0,"[(""secret"",""gem""), (""list"",""hotel""), (""electronic"",""devices""), (""rate"",""devices""), (""first"",""rate"")]","{'hotel': [0, 0], 'rate': [0, 0], 'gem': [0, 0], 'devices': [0, 0]}"
91,M by Montcalm Shoreditch London Tech City,"London, United Kingdom", Clenliness,8/3/2017,10.0,[],{}
92,St Paul s Hotel,"London, United Kingdom", Wonderful hotel with some very nice touches I would definitely stay here again And only a short walking distance from Olympia and Hammersmith ,8/3/2017,10.0,"[(""Wonderful"",""hotel""), (""very nice"",""touches""), (""short"",""distance""), (""only distance"",""walking"")]","{'distance': [0, 0], 'hotel': [0.5719, 0], 'touches': [0.4754, 0], 'walking': [0, 0]}"
93,Best Western S vres Montparnasse,"Paris, France", Beautiful room although small had everything we needed and very comfortable The man at reception could not help us enough he made our stay perfect if only we could have stayed longer Thank you ,8/3/2017,10.0,"[(""Beautiful"",""room""), (""small"",""room""), (""very comfortable"",""room""), (""had"",""everything""), (""help"",""man""), (""longer stayed"",""stay"")]","{'room': [1.1557, 0], 'everything': [0, 0], 'stay': [0, 0], 'man': [0.4019, 0]}"
94,Best Western S vres Montparnasse,"Paris, France", Limited but a good spread of breakfast Good central location and very welcoming staff ,8/3/2017,10.0,"[(""good"",""spread""), (""Good"",""location""), (""central"",""location""), (""welcoming"",""staff"")]","{'staff': [0.4404, 0], 'location': [0.4404, 0], 'spread': [0.4404, 0]}"
95,Best Western S vres Montparnasse,"Paris, France", The staff were very friendly and helpful ,8/3/2017,8.8,"[(""very friendly"",""staff""), (""helpful"",""staff"")]","{'staff': [0.9628, 0]}"
96,Hotel Indigo London Paddington,"London, United Kingdom", Excellent location nice room good prices for London ,8/3/2017,9.2,"[(""Excellent"",""room""), (""room"",""location""), (""nice"",""room""), (""good"",""prices"")]","{'room': [0.9934, 0], 'location': [0, 0], 'prices': [0.4404, 0]}"
97,Britannia International Hotel Canary Wharf,"London, United Kingdom", The location was excellent for getting to the O2,8/3/2017,7.9,"[(""excellent"",""location"")]","{'location': [0.5719, 0]}"
98,Britannia International Hotel Canary Wharf,"London, United Kingdom", The house keeping lady made my boyfriends day with how funny she was,8/3/2017,8.3,"[(""lady"",""house""), (""keeping"",""lady""), (""made"",""lady""), (""made"",""boyfriends"")]","{'house': [0, 0], 'boyfriends': [0, 0], 'lady': [0, 0]}"
99,Britannia International Hotel Canary Wharf,"London, United Kingdom", Having an Indian Restaurant in the hotel was a bonus ,8/3/2017,8.3,[],{}
