,Hotel,Reviews,Aspect_Sentiment
22,Hotel Arena, The location is good You need 15min to 20min walk to the center depends on your speed The hotel locates in a beautiful park and have a nice interior design The bed was really comfortable ,"{'design': [1.375, -0.75], 'center': [0, 0], 'location': [0.5, 0], 'park': [1.375, -0.75], 'speed': [1.375, -0.75], 'walk': [0, 0], 'hotel': [1.375, -0.75]}"
23,Hotel Arena, Bed was extremely comfy and the staff where well spoken they also gave us all the help with easiest way to city centre and all the relevant transportation tickets and unique locations to visit will definitely be returning as this city is beautiful and the people are so friendly ,"{'way': [2.75, -0.75], 'city centre': [5.5, -1.5], 'staff': [2.75, -0.75], 'help': [2.75, -0.75], 'transportation': [2.75, -0.75], 'bed': [2.75, -0.75]}"
24,Hotel Arena, Lovely hotel with extremely comfortable huge double bed We stayed in the split level room which we really liked If you have difficulty getting up stairs request if you can stay in a room all on one level The Oosterpark is beautiful the shops and restaurants are great with lots of variety to choose from You can get the Metro close by 8min walk or the Tram is a short walk away and runs from the station and you can get off within a 5 mins walk to the Hotel All in all a beautiful hotel with friendly staff shampoo and soap in the shower Tea and coffee facilities in your room and in a location that is more relaxing than the central Amsterdam We will be returning ,"{'staff shampoo': [1.75, -0.25], 'room': [3.125, -1.0], 'difficulty': [2.25, -0.875], 'split level room': [7.625, -2.75], 'oosterpark': [2.25, -0.875], 'shower tea': [1.75, -0.25], 'station': [2.25, -0.875], 'variety': [2.25, -0.875], 'tram': [2.25, -0.875], 'soap': [0.875, -0.125], 'walk': [2.25, -0.875], 'metro close': [4.5, -1.75], 'location': [0.875, -0.125], 'level': [2.25, -0.875], 'hotel': [3.125, -1.0], 'coffee': [0.875, -0.125], 'bed': [2.25, -0.875]}"
25,Hotel Arena, Great location in the park near museums and restaurants Perfect launch pad for many walking and day trips Beautiful old building former orphanage and spacious rooms Big breakfast spread perfect for starting the day off right Friendly and helpful staff I m,"{'day': [0.25, 0], 'great location': [0.5, 0], 'perfect launch pad': [0.75, 0], 'walking': [0.25, 0], 'park': [0.25, 0], 'orphanage': [0.25, 0], 'big breakfast spread perfect': [1.0, 0], 'beautiful': [0.25, 0], 'right friendly': [0.5, 0], 'building': [0.25, 0]}"
26,Hotel Arena, The Hotel itself is in a lovely location a 5min if that tram ride into the center Train right outside the Hotel easy access to everywhere The Staff are super friendly and always on hand to help and advice Wonderful bright comfortable and clean rooms Beds are amazing felt as if we were sleeping on clouds Bathroom was clean spacious and airy We had Shampoo Body wash there alongside hair dryer towels safe wardrobe hangers clothes holders desk chair room service hair dryer fridge kettle and cups teas and coffees It literally has everything you need in the room Perfect Hotel couldn t fault it at all The lovely smell from the restaurant downstairs is great Tennis court outside the Hotel little pond as well and a huge park to walk around ,"{'everything': [0, 0], 'room': [1.375, -0.75], 'restaurant downstairs': [0.5, 0], 'wardrobe': [0.625, 0], 'bright': [0.75, -0.75], 'bathroom': [0.75, -0.75], 'hair dryer': [1.25, 0], 'airy': [0.75, -0.75], 'chair room service hair dryer fridge kettle': [5.125, -0.75], 'hand': [0.125, 0], 'smell': [0.25, 0], 'staff': [0.125, 0], 'access': [0.875, 0], 'pond': [0, -0.375], 'tennis court': [0, -0.75], 'location': [0.875, 0], 'center train': [1.75, 0], 'hotel': [1.125, -0.375], 'tram ride': [1.75, 0], 'hotel couldn t fault': [4.25, -1.5], 'shampoo body': [1.25, 0]}"
27,Hotel Arena, Great hotel original concept style,"{'great hotel': [0, 0]}"
28,Hotel Arena, The hotel itself is beautiful restaurant is very good and the adjacent park is gorgeous with beautiful birds and rabbits ,"{'restaurant': [3.25, 0], 'hotel': [3.25, 0]}"
29,Hotel Arena, The hotel is located in a beautiful old monastery building which has a special mood combined with all modern features There is a big park just opposite to the hotel Public transportation and a nice bakery for breakfast are also close Good wifi all around the hotel ,"{'wifi': [0.5, 0], 'breakfast': [1.625, 0], 'bakery': [1.625, 0], 'park': [1.625, 0], 'hotel': [2.125, 0], 'mood': [1.625, 0], 'monastery building': [3.25, 0], 'hotel public transportation': [5.375, 0]}"
30,Hotel Arena, The staff were so friendly and helpful plus the bar restaurant area is beautiful Located in its own park and the old building is simply stunning ,"{'park': [1.125, 0], 'staff': [1.125, 0], 'bar restaurant area': [3.375, 0]}"
31,Hotel Arena, Friendly staff The bar restaurant area is lovely and overlooks the park Very modern ,"{'staff': [0.125, 0], 'bar restaurant area': [0.75, 0]}"
33,Hotel Arena, The hotel is going through renovations and unfortunately it means that the rooms can be less than perfect However the staff did recognise those shortcomings and did everything they could to make the stay as agreeable as possible ,"{'perfect': [0, -1.25], 'staff': [0.5, -0.5], 'everything': [0.5, -0.5], 'hotel': [0, -1.25]}"
34,Hotel Arena, The room was very big spacious The bath tub was large enough for two people I love the axcess to the from multiple trams and trains The park location was amazing,"{'bath tub': [0, 0], 'room': [0.75, 0], 'axcess': [0, 0]}"
35,Hotel Arena, Very nice hotel manager he upgraded us because we had troubles with two different rooms They do everything to make you feel welcome and comfortable The park directly in front of the hotel is amazing rent a bike directly and make a tour Also the bathtub and bed is great ,"{'hotel manager': [2.5, -1.0], 'tour': [0.25, -1.0], 'everything': [0.25, -1.0], 'bathtub': [0, 0], 'rent': [1.375, -1.0], 'front': [0.25, -1.0], 'park': [0.25, -1.0], 'bike': [0.25, -1.0], 'hotel': [1.375, -1.0]}"
36,Hotel Arena, the building meeting rooms modern style of my room park,"{'building meeting': [0, 0], 'style': [0, 0]}"
37,Hotel Arena, Very nice hotel located in a park Ca 30 minutes by walk to the city center Not typical for Amsterdam since most city hotels are located in small buildings But pay attention to the fact that most of the rooms are two storeyed so you will have to use stairs to get to bed ,"{'amsterdam': [0.125, -0.625], 'city': [0.125, -0.625], 'park ca': [1.125, -0.625], 'city center': [0.25, -1.25], 'attention': [0.125, -0.625], 'walk': [0.125, -0.625], 'hotel': [0.625, -0.625]}"
38,Hotel Arena, The location was amazing the room was fantastic east access to public transport set on the lovely Oosterpark lots of places to eat and drink near by or nice walk to the main areas of Amsterdam I would definitely like to stay here again I only had breakfast at the restaurant on site and this was only once and fairly standard as A brit and a connoisseur of cooked breakfasts I was a little disappointed in the hot food but generally lots on offer for everyone just no where does a cooked breakfast like the English but very helpful staff and a nice place to sit with a coffee and start the day and this is the least of any worries due to their being so many good places to eat around and I personally prefer to wander and explore for my dining experiences But not qualified to give a true opinion of the restaurant it was certainly busy in the evenings which suggests its pretty good I will definitely be staying there again if possible the next time i take a trip to Amsterdam,"{'english': [1.625, 0], 'place': [2.5, 0], 'offer': [0.625, -0.5], 'breakfast': [1.625, -0.25], 'room': [0.875, 0], 'food': [0.625, -0.5], 'day': [1.625, 0], 'staff': [1.625, 0], 'everyone': [0.625, -0.5], 'time': [0.25, 0], 'opinion': [0.5, -0.625], 'restaurant': [0.5, -0.875], 'oosterpark': [0.875, 0], 'brit': [0, -0.25], 'transport': [0.875, 0], 'pretty': [1.125, 0], 'walk': [0.875, 0], 'dining': [0, 0], 'amsterdam': [0.875, 0], 'site': [0, -0.25], 'access': [0.875, 0], 'coffee': [1.625, 0], 'location': [0.875, 0], 'connoisseur': [0, -0.25]}"
39,Hotel Arena, Location on the park with easy access to tram lines was very good ,"{'location': [1.625, 0], 'park': [1.625, 0]}"
40,Hotel Arena, The hotel is nicely localted directly within the park which is accessed when walking out of the building The building itself has great history and wonderful architecture The staff is very helpful and friendly when in need of anything ,"{'staff': [0.875, 0], 'architecture': [1.0, 0], 'history': [1.0, 0], 'need': [0.875, 0], 'park': [1.0, 0], 'building': [1.0, 0], 'hotel': [1.0, 0]}"
41,Hotel Arena, Nice restaurant although felt breakfast was rather expensive at 17 50 per head Location as expected but with hind sight a little further from the main tourist areas than we might have liked but was quite nice to be out of the noisy city centre Staff very courteous ,"{'nice restaurant': [2.125, -1.0], 'tourist': [2.125, -1.0], 'breakfast': [2.125, -1.0], 'city': [2.125, -1.0], 'head location': [4.25, -2.0]}"
42,Hotel Arena, Love the design of the renovated product The park nearby for a walk ,"{'park': [0, 0], 'design': [0.125, 0], 'product': [0.125, 0]}"
43,Hotel Arena, Staff were amazing very very friendly and proud of the place they work in The cafe is very cool Will be back,"{'proud': [1.625, -0.625], 'staff': [1.625, -0.625], 'place': [1.625, -0.625]}"
44,Hotel Arena, The brunch to purchase in the morning was good ,"{'brunch': [0.5, 0]}"
45,Hotel Arena, The location of the hotel is super opening out to Oosterpark The staff was very helpful and friendly The bed was very comfortable The room was spacious enough for 2 people ,"{'location': [0, 0], 'staff': [0.875, 0], 'hotel': [0, 0], 'bed': [0.5, -0.75]}"
46,Hotel Arena, Massive bed,{}
47,Hotel Arena, The hotel looks really impressive Set in a beautiful location The room was clean well decorated and the bed was one of the most comfortable I d ever slept in ,"{'location': [1.5, -0.75], 'room': [1.5, -0.75], 'hotel': [1.5, -0.75], 'set': [1.5, -0.75]}"
48,Hotel Arena, The quality of the hotel was brilliant and even though it was under renovation there was no disruption or noise The location of the hotel is far enough away from the centre of the city that it did not feel like a tourist trap and it is also situated in a fantastic park near some great bars and restaurants I cannot fault the staff facilities or the price and would highly recommend this to anyone ,"{'tourist trap': [2.0, -2.5], 'noise': [0.875, 0], 'quality': [0.875, 0], 'disruption': [0.875, 0], 'staff': [1.0, -1.25], 'price': [1.0, -1.25], 'city': [1.0, -1.25], 'location': [1.0, -1.25], 'renovation': [0.875, 0], 'park': [1.0, -1.25], 'centre': [1.0, -1.25], 'hotel': [1.875, -1.25]}"
49,Hotel Arena, clean and new,{}
50,Hotel Arena, My room was upgraded because they are doing renovations in part of the building The room I was given was enormous and very comfortable I wish I had been staying for a week not just one night ,"{'week': [0.625, -0.625], 'room': [0.5, -0.75], 'part': [0, 0], 'building': [0, 0]}"
51,Hotel Arena, The location and views ,{}
52,Hotel Arena, The location in a quiet park with a great terrace The space and the rooms are exquisite with a lot of taste The gigantic beds pillows and bedsheets are super comfortable It s dark and silent which is something impossible to find in Amsterdam Staff was very friendly and accommodating The restaurant with a view over the park is great to work and eat,"{'space': [0.375, -0.75], 'something': [0.75, -0.875], 'amsterdam staff': [1.5, -1.75], 'view': [0.75, -0.875], 'terrace': [0, 0], 'location': [0, 0], 'park': [0.75, -0.875], 'lot': [0.375, -0.75], 'taste': [0.375, -0.75], 'restaurant': [0.75, -0.875]}"
53,Hotel Arena, Beautiful setting in a lovely park room very spacious clean and comfortable bar area looking over the park was stunning located on the peaceful outskirts of the city but very easy to travel around on the tram system old building with a modern refurbishment it suited us perfectly,"{'tram system': [6.75, -1.5], 'bar area': [6.75, -1.5], 'park room': [6.75, -1.5], 'setting': [3.375, -0.75], 'city': [3.375, -0.75], 'park': [3.375, -0.75], 'clean': [3.375, -0.75], 'building': [3.375, -0.75]}"
54,Hotel Arena, good and comfortable mattress near tram station helpful people from recepction,"{'station': [0.75, -0.75], 'mattress': [0.75, -0.75]}"
55,Hotel Arena, The hotel is lovely and the staff were amazing They even sorted out booking a meal and taxi for me when I emailed them about this when I first booked online This was such a good idea as we found out after that it was one of the best in town It is set in a park and just looks amazing from the outside and inside is top draw too I would highly recommend ,"{'online': [0.25, 0], 'staff': [0.25, 0], 'outside': [1.25, -0.25], 'taxi': [0.25, 0], 'idea': [0.75, -0.125], 'park': [1.25, -0.25], 'meal': [0.25, 0], 'town': [0.75, -0.125], 'inside': [1.25, -0.25], 'hotel': [0.25, 0]}"
56,Hotel Arena, location in the park Cool interior design comfy bed ,"{'location': [0, 0], 'park cool': [0, 0]}"
57,Hotel Arena, Location was good but needed tram subway to get to centre of Amsterdam Room was nice but stairs were hard to get up and down to get to bed at night room was clean hotel was nice and modern located in next a lovely park staff were friendly ,"{'night room': [1.25, -1.5], 'location': [0.625, -0.75], 'tram subway': [1.25, -1.5], 'amsterdam room': [1.25, -1.5], 'hotel': [0.375, 0]}"
58,Hotel Arena, The location was perfect and so beautiful Only a tram ride from the centre anywhere really ,"{'location': [1.375, 0], 'ride': [1.375, 0]}"
59,K K Hotel George, Very comfortable beds smart bathroom good shower Lovely facilities garden an absolute delight friendly staff quiet location,"{'shower lovely': [2.25, -3.25], 'staff': [1.125, -1.625], 'delight': [1.125, -1.625], 'bathroom': [1.125, -1.625]}"
61,K K Hotel George, The staff was very friendly and helpful in organizing our daytime activities Hotel located in a quiet area but very close to subway and restaurants ,"{'area': [1.375, 0], 'staff': [1.375, 0], 'hotel': [1.375, 0]}"
62,K K Hotel George, We stayed at the hotel at a friend s recommendation It has great access to public transport and plenty of shops and places to eat close by Laundrette around the corner is also a bonus for long term travellers who need to freshen things up having access to the back garden was an added bonus for lovely summer evenings Would definitely stay there again ,"{'garden': [0.5, 0], 'laundrette': [0.5, 0], 'friend s recommendation': [1.5, 0], 'summer': [0.5, 0], 'transport': [0.5, 0], 'access': [0.5, 0], 'term': [0.5, 0], 'plenty': [0.5, 0], 'bonus': [0.5, 0], 'corner': [0.5, 0], 'hotel': [0.5, 0]}"
63,K K Hotel George, Super location on Division underground line direct to Heathrow and central London Older facility but very accommodating staff Good breakfast many restaurant stores 1 2 block away Bathroom was tiny with no fan or ventilation so it got warmish Quite comfy but small rooms Beautiful garden in back Overall a great value for London Would stay here again ,"{'heathrow': [1.25, 0], 'fan': [0, 0], 'london older facility': [3.75, 0], 'block': [0, 0], 'bathroom': [0, 0], 'beautiful garden': [0, 0], 'super location': [2.5, 0], 'line': [1.25, 0], 'staff': [1.25, 0], 'restaurant': [0.5, 0], 'value': [0, 0], 'division': [1.25, 0], 'back': [0, 0], 'ventilation': [0, 0], 'breakfast': [0.5, 0]}"
64,K K Hotel George, Breakfast buffet was more than satisfactory Plenty of choices for all Bed was very comfortable Bathroom shower was powerful and plenty of hot water Location could not have been better Very short walk to underground Beautiful gardens at the rear of hotel Very quiet in spite of being close to Earl s Court Rd Staff was friendly and helpful Everyone was very easy to deal with ,"{'bathroom shower': [4.25, -2.75], 'hotel very': [5.375, -2.75], 'earl': [2.125, -1.375], 'spite': [2.125, -1.375], 'court rd staff': [6.375, -4.125], 'beautiful': [2.125, -1.375], 'water location': [4.25, -2.75], 'walk': [2.125, -1.375], 'breakfast buffet': [4.25, -2.75], 'rear': [2.125, -1.375], 'very': [3.25, -1.375], 'plenty': [2.125, -1.375], 'bed': [2.125, -1.375]}"
65,K K Hotel George, There was a beautiful garden at the back of the property where guests could relax in the sunshine read order a drink etc A great location very close to Earls Court restaurants and tube Good breakfast ,"{'garden': [0.75, 0], 'back': [0.75, 0], 'drink etc': [1.5, 0], 'property': [0.75, 0], 'location': [0.5, 0], 'sunshine': [0.75, 0], 'order': [0.75, 0], 'earls court': [1.0, 0]}"
66,K K Hotel George, Fantastic location very clean room someone called Leanne I think on reception was helpful and kind Breakfast was lovely great choice ,"{'location': [1.375, 0], 'reception': [1.375, 0], 'room someone': [2.75, 0], 'leanne': [1.375, 0], 'kind breakfast': [2.75, 0]}"
67,K K Hotel George, Breakfast was excellent Staff in the restaurant were very pleasant especially the lady who took our room numbers showed us to our table ,"{'room': [2.125, 0], 'staff': [2.125, 0], 'restaurant': [2.125, 0], 'breakfast': [2.125, 0], 'lady': [2.125, 0]}"
68,K K Hotel George, The garden was a bonus Lovely area to have some quiet time and enjoy a drink Secure parking was also a good feature ,"{'time': [0.75, 0], 'garden': [0.75, 0], 'area': [0.75, 0], 'drink secure parking': [2.25, 0], 'bonus': [0.75, 0]}"
69,K K Hotel George, Great location it s easy to find and incredibly close to the Earl s Court Underground station Clean Quiet Breakfast was a good quality and selection Nice pillows Lovely large windows in the rooms with beautiful billowing curtains Newly remodeled marble slate bathroom Mini fridge in room Desk had a mirror so it doubled as a great place to do hair and make up Beautiful garden area I didn t get to spend much time out back but it s worth buying a glass of wine and hanging out with some friends in that area ,"{'court underground station clean quiet breakfast': [6.75, -3.0], 'selection nice': [2.25, -1.0], 'wine': [0, 0], 'billowing': [1.0, 0], 'earl': [1.125, -0.5], 'quality': [1.125, -0.5], 'glass': [0, 0], 'mirror': [0, 0], 'room desk': [1.0, 0], 'slate bathroom mini fridge': [2.0, 0], 'beautiful garden area': [1.0, 0], 'get': [0, 0], 'great location': [0, 0], 'place': [0, 0], 'hair': [0, 0], 'time': [0, 0]}"
70,K K Hotel George, Location first and foremost Lovely gardens ,{}
71,K K Hotel George, Very good hotel professional people s and very well organized Unfortunately the fitness area is veeery small maybe this hotel with this kind of level can evaluate in the best future to invest something more in space for this area Sauna was not available but o k i can accept this in summer period i hope this will not hapen during winter nothing more check always the price sometimes without promotion is not acceptable for this kind of structure I will pay for this not more than 150 p more than this price became not anymore competitive with similar hotel with same level,"{'check': [1.375, -3.125], 'fitness area': [3.5, -1.75], 'winter nothing': [2.75, -6.25], 'summer period i': [5.875, -10.25], 'future': [1.75, -0.875], 'structure': [1.375, -3.125], 'space': [1.75, -0.875], 'something': [1.75, -0.875], 'area sauna': [3.125, -4.0], 'price': [1.375, -3.125], 'level': [3.125, -4.0], 'k i': [6.25, -8.0], 'kind': [3.125, -4.0], 'promotion': [1.375, -3.125], 'hotel': [3.125, -4.0]}"
72,K K Hotel George, Clean comfy beds Beautiful gardens Excellent helpful staff ,"{'comfy': [0, 0]}"
73,K K Hotel George, The staff were all so professional and friendly They really made the entire visit special and went out of their way to accommodate every inquiry or request we made The hotel itself was clean and the location to get on the Earl s Court tube was really convenient for all of our planned excursions I would totally recommend the K K Hotel George ,"{'way': [2.375, 0], 'staff': [0.125, 0], 'earl': [2.375, 0], 'visit special': [4.75, 0], 'request': [2.375, 0], 'location': [2.375, 0], 'court tube': [4.75, 0], 'inquiry': [2.375, 0], 'hotel': [2.375, 0]}"
74,K K Hotel George, Small but modern and well furnished room Nice linens and a superior small bathroom ,"{'small': [0.75, 0], 'room nice': [1.5, 0]}"
75,K K Hotel George, Very comfortable bed with two kind of pillows one higher and one lower that suit different need in our family The hotel has a inside garden beautiful English style where you feel relax with a glass of beer It s very close to the Earl s court station but still loated on a quite street you can keep the window open while you sleep during the night We like this hotel ,"{'beer': [2.375, -1.0], 'earl': [0.5, -0.625], 'street': [0.5, -0.625], 'glass': [2.375, -1.0], 'suit': [2.375, -1.0], 'need': [2.375, -1.0], 'family': [2.375, -1.0], 'window': [0, 0], 'night': [0, 0], 'court station': [1.0, -1.25], 'garden': [2.375, -1.0], 'english style': [4.75, -2.0], 'hotel': [2.375, -1.0], 'kind': [2.375, -1.0], 'bed': [2.375, -1.0]}"
76,K K Hotel George, Fantastic breakfast buffet Great location Quiet rooms ,{}
77,K K Hotel George, We stay at this hotel each time we are in London in a nice quiet street just a short walk to Earls Court underground station the staff are always friendly rooms are always cleaned properly it s just a nice place to return to after a long day in London Great buffet breakfast,"{'staff': [1.0, 0], 'place': [0.625, 0], 'london great': [2.25, 0], 'street': [1.0, 0], 'time': [1.0, 0], 'earls court': [2.0, 0], 'hotel': [1.0, 0], 'station': [1.0, 0], 'day': [0.625, 0], 'walk': [1.0, 0], 'london': [1.625, 0]}"
78,K K Hotel George, Great position lovely having breakfast overlooking beautiful garden Which you could have a walk around or seat and relax Staff were very helpful and friendly ,"{'garden': [1.0, 0], 'great position': [2.0, 0], 'seat': [0.875, -0.125], 'breakfast': [1.0, 0], 'walk': [0.875, -0.125]}"
79,K K Hotel George, Location near the Earl s Court Underground VERY convenient Restaurants nearby Good location away from the tourist bustle but very easy to get around London via the Tube ,"{'location': [1.75, 0], 'earl': [1.75, 0], 'london': [1.75, 0], 'court underground very': [5.25, 0], 'good location': [3.5, 0], 'tourist bustle': [3.5, 0], 'restaurants': [1.75, 0]}"
80,K K Hotel George, The staff was very helpful,{}
81,K K Hotel George, Hotel was nice and comfortable Very clean Room was a bit small but adequate Staff was friendly and helpful The location was great because it was a 4 minute walk from 2 underground lines Plenty of restaurants convenience stores and ATM nearby ,"{'room': [0.375, -0.75], 'staff': [0.375, -0.75], 'bit': [0.375, -0.75], 'very': [0.375, -0.75], 'hotel': [0.375, -0.75], 'minute walk': [0, 0], 'location': [0, 0], 'plenty': [0, 0], 'convenience': [0, 0]}"
82,K K Hotel George, We really liked the breakfast There was a wide choice of food The hotel is in a nice neighbourhood with many good quality restaurants It is also close to the subway station ,"{'quality': [0.75, 0], 'choice': [0.75, 0], 'breakfast': [0.625, 0], 'neighbourhood': [0.75, 0], 'food': [0.75, 0], 'hotel': [0.75, 0]}"
83,K K Hotel George, Room as advertised excellent location a 2 minute walk to buses and the tube Friendly and helpful front desk staff Would love to stay here on our next London trip too ,"{'minute walk': [2.5, -0.5], 'room': [1.25, -0.25], 'location': [1.25, -0.25], 'tube friendly': [2.5, -0.5], 'front desk staff would love': [6.25, -1.25]}"
84,K K Hotel George, quiet comfy room Very helpful staff Excellent location just off the Earls Court tube and lots of excellent places to eat close by ,"{'comfy room': [0, 0], 'staff excellent location': [7.125, 0]}"
85,K K Hotel George, Closeness to Piccadilly Line and general ambience of the hotel,"{'closeness': [0, 0], 'piccadilly line': [0, 0], 'ambience': [0, 0]}"
